Index,Code,Type,Limit,Value,Discount,Sell,Cash,Point,Name,LearnText,IconFile,Explain
18,1109,11,45,9,100,2,3600,18000,µå¸®ºí ÈÆ·Ã 9,µå¸®ºí,Training_Dribble,µå¸®ºí ÈÆ·Ã 9
19,1110,11,50,10,100,2,4000,20000,µå¸®ºí ÈÆ·Ã 10,µå¸®ºí,Training_Dribble,µå¸®ºí ÈÆ·Ã 10
20,1201,12,5,1,100,2,400,2000,¼ø¹ß·Â ÈÆ·Ã 1,¼ø¹ß·Â,Training_Quick,¼ø¹ß·Â ÈÆ·Ã 1
21,1202,12,10,2,100,2,800,4000,¼ø¹ß·Â ÈÆ·Ã 2,¼ø¹ß·Â,Training_Quick,¼ø¹ß·Â ÈÆ·Ã 2
22,1203,12,15,3,100,2,1200,6000,¼ø¹ß·Â ÈÆ·Ã 3,¼ø¹ß·Â,Training_Quick,¼ø¹ß·Â ÈÆ·Ã 3
23,1204,12,20,4,100,2,1600,8000,¼ø¹ß·Â ÈÆ·Ã 4,¼ø¹ß·Â,Training_Quick,¼ø¹ß·Â ÈÆ·Ã 4
24,1205,12,25,5,100,2,2000,10000,¼ø¹ß·Â ÈÆ·Ã 5,¼ø¹ß·Â,Training_Quick,¼ø¹ß·Â ÈÆ·Ã 5
25,1206,12,30,6,100,2,2400,12000,¼ø¹ß·Â ÈÆ·Ã 6,¼ø¹ß·Â,Training_Quick,¼ø¹ß·Â ÈÆ·Ã 6
26,1207,12,35,7,100,2,2800,14000,¼ø¹ß·Â ÈÆ·Ã 7,¼ø¹ß·Â,Training_Quick,¼ø¹ß·Â ÈÆ·Ã 7
27,1208,12,40,8,100,2,3200,16000,¼ø¹ß·Â ÈÆ·Ã 8,¼ø¹ß·Â,Training_Quick,¼ø¹ß·Â ÈÆ·Ã 8
28,1209,12,45,9,100,2,3600,18000,¼ø¹ß·Â ÈÆ·Ã 9,¼ø¹ß·Â,Training_Quick,¼ø¹ß·Â ÈÆ·Ã 9
29,1210,12,50,10,100,2,4000,20000,¼ø¹ß·Â ÈÆ·Ã 10,¼ø¹ß·Â,Training_Quick,¼ø¹ß·Â ÈÆ·Ã 10
30,1301,13,5,1,100,2,400,2000,±Ù·Â ÈÆ·Ã 1,±Ù·Â,Training_Stamina,±Ù·Â ÈÆ·Ã 1
31,1302,13,10,2,100,2,800,4000,±Ù·Â ÈÆ·Ã 2,±Ù·Â,Training_Stamina,±Ù·Â ÈÆ·Ã 2
32,1303,13,15,3,100,2,1200,6000,±Ù·Â ÈÆ·Ã 3,±Ù·Â,Training_Stamina,±Ù·Â ÈÆ·Ã 3
33,1304,13,20,4,100,2,1600,8000,±Ù·Â ÈÆ·Ã 4,±Ù·Â,Training_Stamina,±Ù·Â ÈÆ·Ã 4
34,1305,13,25,5,100,2,2000,10000,±Ù·Â ÈÆ·Ã 5,±Ù·Â,Training_Stamina,±Ù·Â ÈÆ·Ã 5
35,1306,13,30,6,100,2,2400,12000,±Ù·Â ÈÆ·Ã 6,±Ù·Â,Training_Stamina,±Ù·Â ÈÆ·Ã 6
36,1307,13,35,7,100,2,2800,14000,±Ù·Â ÈÆ·Ã 7,±Ù·Â,Training_Stamina,±Ù·Â ÈÆ·Ã 7
37,1308,13,40,8,100,2,3200,16000,±Ù·Â ÈÆ·Ã 8,±Ù·Â,Training_Stamina,±Ù·Â ÈÆ·Ã 8
38,1309,13,45,9,100,2,3600,18000,±Ù·Â ÈÆ·Ã 9,±Ù·Â,Training_Stamina,±Ù·Â ÈÆ·Ã 9
39,1310,13,50,10,100,2,4000,20000,±Ù·Â ÈÆ·Ã 10,±Ù·Â,Training_Stamina,±Ù·Â ÈÆ·Ã 10
40,1401,14,5,1,100,2,400,2000,Åº·Â ÈÆ·Ã 1,Åº·Â,Training_Elasticity,Åº·Â ÈÆ·Ã 1
41,1402,14,10,2,100,2,800,4000,Åº·Â ÈÆ·Ã 2,Åº·Â,Training_Elasticity,Åº·Â ÈÆ·Ã 2
42,1403,14,15,3,100,2,1200,6000,Åº·Â ÈÆ·Ã 3,Åº·Â,Training_Elasticity,Åº·Â ÈÆ·Ã 3
43,1404,14,20,4,100,2,1600,8000,Åº·Â ÈÆ·Ã 4,Åº·Â,Training_Elasticity,Åº·Â ÈÆ·Ã 4
44,1405,14,25,5,100,2,2000,10000,Åº·Â ÈÆ·Ã 5,Åº·Â,Training_Elasticity,Åº·Â ÈÆ·Ã 5
45,1406,14,30,6,100,2,2400,12000,Åº·Â ÈÆ·Ã 6,Åº·Â,Training_Elasticity,Åº·Â ÈÆ·Ã 6
46,1407,14,35,7,100,2,2800,14000,Åº·Â ÈÆ·Ã 7,Åº·Â,Training_Elasticity,Åº·Â ÈÆ·Ã 7
47,1408,14,40,8,100,2,3200,16000,Åº·Â ÈÆ·Ã 8,Åº·Â,Training_Elasticity,Åº·Â ÈÆ·Ã 8
48,1409,14,45,9,100,2,3600,18000,Åº·Â ÈÆ·Ã 9,Åº·Â,Training_Elasticity,Åº·Â ÈÆ·Ã 9
49,1410,14,50,10,100,2,4000,20000,Åº·Â ÈÆ·Ã 10,Åº·Â,Training_Elasticity,Åº·Â ÈÆ·Ã 10
50,1501,15,5,1,100,2,400,2000,¸ö½Î¿ò ÈÆ·Ã 1,¸ö½Î¿ò,Training_Bodycheck,¸ö½Î¿ò ÈÆ·Ã 1
51,1502,15,10,2,100,2,800,4000,¸ö½Î¿ò ÈÆ·Ã 2,¸ö½Î¿ò,Training_Bodycheck,¸ö½Î¿ò ÈÆ·Ã 2
52,1503,15,15,3,100,2,1200,6000,¸ö½Î¿ò ÈÆ·Ã 3,¸ö½Î¿ò,Training_Bodycheck,¸ö½Î¿ò ÈÆ·Ã 3
53,1504,15,20,4,100,2,1600,8000,¸ö½Î¿ò ÈÆ·Ã 4,¸ö½Î¿ò,Training_Bodycheck,¸ö½Î¿ò ÈÆ·Ã 4
54,1505,15,25,5,100,2,2000,10000,¸ö½Î¿ò ÈÆ·Ã 5,¸ö½Î¿ò,Training_Bodycheck,¸ö½Î¿ò ÈÆ·Ã 5
55,1506,15,30,6,100,2,2400,12000,¸ö½Î¿ò ÈÆ·Ã 6,¸ö½Î¿ò,Training_Bodycheck,¸ö½Î¿ò ÈÆ·Ã 6
56,1507,15,35,7,100,2,2800,14000,¸ö½Î¿ò ÈÆ·Ã 7,¸ö½Î¿ò,Training_Bodycheck,¸ö½Î¿ò ÈÆ·Ã 7
57,1508,15,40,8,100,2,3200,16000,¸ö½Î¿ò ÈÆ·Ã 8,¸ö½Î¿ò,Training_Bodycheck,¸ö½Î¿ò ÈÆ·Ã 8
58,1509,15,45,9,100,2,3600,18000,¸ö½Î¿ò ÈÆ·Ã 9,¸ö½Î¿ò,Training_Bodycheck,¸ö½Î¿ò ÈÆ·Ã 9
59,1510,15,50,10,100,2,4000,20000,¸ö½Î¿ò ÈÆ·Ã 10,¸ö½Î¿ò,Training_Bodycheck,¸ö½Î¿ò ÈÆ·Ã 10
60,1601,16,5,1,100,2,400,2000,Å©·Î½º ÈÆ·Ã 1,Å©·Î½º,Training_Cross,Å©·Î½º ÈÆ·Ã 1
61,1602,16,10,2,100,2,800,4000,Å©·Î½º ÈÆ·Ã 2,Å©·Î½º,Training_Cross,Å©·Î½º ÈÆ·Ã 2
62,1603,16,15,3,100,2,1200,6000,Å©·Î½º ÈÆ·Ã 3,Å©·Î½º,Training_Cross,Å©·Î½º ÈÆ·Ã 3
63,1604,16,20,4,100,2,1600,8000,Å©·Î½º ÈÆ·Ã 4,Å©·Î½º,Training_Cross,Å©·Î½º ÈÆ·Ã 4
64,1605,16,25,5,100,2,2000,10000,Å©·Î½º ÈÆ·Ã 5,Å©·Î½º,Training_Cross,Å©·Î½º ÈÆ·Ã 5
65,1606,16,30,6,100,2,2400,12000,Å©·Î½º ÈÆ·Ã 6,Å©·Î½º,Training_Cross,Å©·Î½º ÈÆ·Ã 6
66,1607,16,35,7,100,2,2800,14000,Å©·Î½º ÈÆ·Ã 7,Å©·Î½º,Training_Cross,Å©·Î½º ÈÆ·Ã 7
67,1608,16,40,8,100,2,3200,16000,Å©·Î½º ÈÆ·Ã 8,Å©·Î½º,Training_Cross,Å©·Î½º ÈÆ·Ã 8
68,1609,16,45,9,100,2,3600,18000,Å©·Î½º ÈÆ·Ã 9,Å©·Î½º,Training_Cross,Å©·Î½º ÈÆ·Ã 9
69,1610,16,50,10,100,2,4000,20000,Å©·Î½º ÈÆ·Ã 10,Å©·Î½º,Training_Cross,Å©·Î½º ÈÆ·Ã 10
70,1701,17,5,1,100,2,400,2000,¼ôÆÐ½º ÈÆ·Ã 1,¼ôÆÐ½º,Training_Shortpass,¼ôÆÐ½º ÈÆ·Ã 1
71,1702,17,10,2,100,2,800,4000,¼ôÆÐ½º ÈÆ·Ã 2,¼ôÆÐ½º,Training_Shortpass,¼ôÆÐ½º ÈÆ·Ã 2
72,1703,17,15,3,100,2,1200,6000,¼ôÆÐ½º ÈÆ·Ã 3,¼ôÆÐ½º,Training_Shortpass,¼ôÆÐ½º ÈÆ·Ã 3
73,1704,17,20,4,100,2,1600,8000,¼ôÆÐ½º ÈÆ·Ã 4,¼ôÆÐ½º,Training_Shortpass,¼ôÆÐ½º ÈÆ·Ã 4
74,1705,17,25,5,100,2,2000,10000,¼ôÆÐ½º ÈÆ·Ã 5,¼ôÆÐ½º,Training_Shortpass,¼ôÆÐ½º ÈÆ·Ã 5
75,1706,17,30,6,100,2,2400,12000,¼ôÆÐ½º ÈÆ·Ã 6,¼ôÆÐ½º,Training_Shortpass,¼ôÆÐ½º ÈÆ·Ã 6
76,1707,17,35,7,100,2,2800,14000,¼ôÆÐ½º ÈÆ·Ã 7,¼ôÆÐ½º,Training_Shortpass,¼ôÆÐ½º ÈÆ·Ã 7
77,1708,17,40,8,100,2,3200,16000,¼ôÆÐ½º ÈÆ·Ã 8,¼ôÆÐ½º,Training_Shortpass,¼ôÆÐ½º ÈÆ·Ã 8
78,1709,17,45,9,100,2,3600,18000,¼ôÆÐ½º ÈÆ·Ã 9,¼ôÆÐ½º,Training_Shortpass,¼ôÆÐ½º ÈÆ·Ã 9
79,1710,17,50,10,100,2,4000,20000,¼ôÆÐ½º ÈÆ·Ã 10,¼ôÆÐ½º,Training_Shortpass,¼ôÆÐ½º ÈÆ·Ã 10
80,1801,18,5,1,100,2,400,2000,·ÕÆÐ½º ÈÆ·Ã 1,·ÕÆÐ½º,Training_Longpass,·ÕÆÐ½º ÈÆ·Ã 1
81,1802,18,10,2,100,2,800,4000,·ÕÆÐ½º ÈÆ·Ã 2,·ÕÆÐ½º,Training_Longpass,·ÕÆÐ½º ÈÆ·Ã 2
82,1803,18,15,3,100,2,1200,6000,·ÕÆÐ½º ÈÆ·Ã 3,·ÕÆÐ½º,Training_Longpass,·ÕÆÐ½º ÈÆ·Ã 3
83,1804,18,20,4,100,2,1600,8000,·ÕÆÐ½º ÈÆ·Ã 4,·ÕÆÐ½º,Training_Longpass,·ÕÆÐ½º ÈÆ·Ã 4
84,1805,18,25,5,100,2,2000,10000,·ÕÆÐ½º ÈÆ·Ã 5,·ÕÆÐ½º,Training_Longpass,·ÕÆÐ½º ÈÆ·Ã 5
85,1806,18,30,6,100,2,2400,12000,·ÕÆÐ½º ÈÆ·Ã 6,·ÕÆÐ½º,Training_Longpass,·ÕÆÐ½º ÈÆ·Ã 6
86,1807,18,35,7,100,2,2800,14000,·ÕÆÐ½º ÈÆ·Ã 7,·ÕÆÐ½º,Training_Longpass,·ÕÆÐ½º ÈÆ·Ã 7
87,1808,18,40,8,100,2,3200,16000,·ÕÆÐ½º ÈÆ·Ã 8,·ÕÆÐ½º,Training_Longpass,·ÕÆÐ½º ÈÆ·Ã 8
88,1809,18,45,9,100,2,3600,18000,·ÕÆÐ½º ÈÆ·Ã 9,·ÕÆÐ½º,Training_Longpass,·ÕÆÐ½º ÈÆ·Ã 9
89,1810,18,50,10,100,2,4000,20000,·ÕÆÐ½º ÈÆ·Ã 10,·ÕÆÐ½º,Training_Longpass,·ÕÆÐ½º ÈÆ·Ã 10
90,1901,19,5,1,100,2,400,2000,Çìµù½¸ ÈÆ·Ã 1,Çìµù½¸,Training_Headshoot,Çìµù½¸ ÈÆ·Ã 1
91,1902,19,10,2,100,2,800,4000,Çìµù½¸ ÈÆ·Ã 2,Çìµù½¸,Training_Headshoot,Çìµù½¸ ÈÆ·Ã 2
92,1903,19,15,3,100,2,1200,6000,Çìµù½¸ ÈÆ·Ã 3,Çìµù½¸,Training_Headshoot,Çìµù½¸ ÈÆ·Ã 3
93,1904,19,20,4,100,2,1600,8000,Çìµù½¸ ÈÆ·Ã 4,Çìµù½¸,Training_Headshoot,Çìµù½¸ ÈÆ·Ã 4
94,1905,19,25,5,100,2,2000,10000,Çìµù½¸ ÈÆ·Ã 5,Çìµù½¸,Training_Headshoot,Çìµù½¸ ÈÆ·Ã 5
95,1906,19,30,6,100,2,2400,12000,Çìµù½¸ ÈÆ·Ã 6,Çìµù½¸,Training_Headshoot,Çìµù½¸ ÈÆ·Ã 6
96,1907,19,35,7,100,2,2800,14000,Çìµù½¸ ÈÆ·Ã 7,Çìµù½¸,Training_Headshoot,Çìµù½¸ ÈÆ·Ã 7
97,1908,19,40,8,100,2,3200,16000,Çìµù½¸ ÈÆ·Ã 8,Çìµù½¸,Training_Headshoot,Çìµù½¸ ÈÆ·Ã 8
98,1909,19,45,9,100,2,3600,18000,Çìµù½¸ ÈÆ·Ã 9,Çìµù½¸,Training_Headshoot,Çìµù½¸ ÈÆ·Ã 9
99,1910,19,50,10,100,2,4000,20000,Çìµù½¸ ÈÆ·Ã 10,Çìµù½¸,Training_Headshoot,Çìµù½¸ ÈÆ·Ã 10
100,2001,20,5,1,100,2,400,2000,´Ü°Å¸®½¸ ÈÆ·Ã 1,´Ü°Å¸®½¸,Training_Shortshoot,´Ü°Å¸®½¸ ÈÆ·Ã 1
101,2002,20,10,2,100,2,800,4000,´Ü°Å¸®½¸ ÈÆ·Ã 2,´Ü°Å¸®½¸,Training_Shortshoot,´Ü°Å¸®½¸ ÈÆ·Ã 2
102,2003,20,15,3,100,2,1200,6000,´Ü°Å¸®½¸ ÈÆ·Ã 3,´Ü°Å¸®½¸,Training_Shortshoot,´Ü°Å¸®½¸ ÈÆ·Ã 3
103,2004,20,20,4,100,2,1600,8000,´Ü°Å¸®½¸ ÈÆ·Ã 4,´Ü°Å¸®½¸,Training_Shortshoot,´Ü°Å¸®½¸ ÈÆ·Ã 4
104,2005,20,25,5,100,2,2000,10000,´Ü°Å¸®½¸ ÈÆ·Ã 5,´Ü°Å¸®½¸,Training_Shortshoot,´Ü°Å¸®½¸ ÈÆ·Ã 5
105,2006,20,30,6,100,2,2400,12000,´Ü°Å¸®½¸ ÈÆ·Ã 6,´Ü°Å¸®½¸,Training_Shortshoot,´Ü°Å¸®½¸ ÈÆ·Ã 6
106,2007,20,35,7,100,2,2800,14000,´Ü°Å¸®½¸ ÈÆ·Ã 7,´Ü°Å¸®½¸,Training_Shortshoot,´Ü°Å¸®½¸ ÈÆ·Ã 7
107,2008,20,40,8,100,2,3200,16000,´Ü°Å¸®½¸ ÈÆ·Ã 8,´Ü°Å¸®½¸,Training_Shortshoot,´Ü°Å¸®½¸ ÈÆ·Ã 8
108,2009,20,45,9,100,2,3600,18000,´Ü°Å¸®½¸ ÈÆ·Ã 9,´Ü°Å¸®½¸,Training_Shortshoot,´Ü°Å¸®½¸ ÈÆ·Ã 9
109,2010,20,50,10,100,2,4000,20000,´Ü°Å¸®½¸ ÈÆ·Ã 10,´Ü°Å¸®½¸,Training_Shortshoot,´Ü°Å¸®½¸ ÈÆ·Ã 10
110,2101,21,5,1,100,2,400,2000,Áß°Å¸®½¸ ÈÆ·Ã 1,Áß°Å¸®½¸,Training_Longshoot,Áß°Å¸®½¸ ÈÆ·Ã 1
111,2102,21,10,2,100,2,800,4000,Áß°Å¸®½¸ ÈÆ·Ã 2,Áß°Å¸®½¸,Training_Longshoot,Áß°Å¸®½¸ ÈÆ·Ã 2
112,2103,21,15,3,100,2,1200,6000,Áß°Å¸®½¸ ÈÆ·Ã 3,Áß°Å¸®½¸,Training_Longshoot,Áß°Å¸®½¸ ÈÆ·Ã 3
113,2104,21,20,4,100,2,1600,8000,Áß°Å¸®½¸ ÈÆ·Ã 4,Áß°Å¸®½¸,Training_Longshoot,Áß°Å¸®½¸ ÈÆ·Ã 4
114,2105,21,25,5,100,2,2000,10000,Áß°Å¸®½¸ ÈÆ·Ã 5,Áß°Å¸®½¸,Training_Longshoot,Áß°Å¸®½¸ ÈÆ·Ã 5
115,2106,21,30,6,100,2,2400,12000,Áß°Å¸®½¸ ÈÆ·Ã 6,Áß°Å¸®½¸,Training_Longshoot,Áß°Å¸®½¸ ÈÆ·Ã 6
116,2107,21,35,7,100,2,2800,14000,Áß°Å¸®½¸ ÈÆ·Ã 7,Áß°Å¸®½¸,Training_Longshoot,Áß°Å¸®½¸ ÈÆ·Ã 7
117,2108,21,40,8,100,2,3200,16000,Áß°Å¸®½¸ ÈÆ·Ã 8,Áß°Å¸®½¸,Training_Longshoot,Áß°Å¸®½¸ ÈÆ·Ã 8
118,2109,21,45,9,100,2,3600,18000,Áß°Å¸®½¸ ÈÆ·Ã 9,Áß°Å¸®½¸,Training_Longshoot,Áß°Å¸®½¸ ÈÆ·Ã 9
119,2110,21,50,10,100,2,4000,20000,Áß°Å¸®½¸ ÈÆ·Ã 10,Áß°Å¸®½¸,Training_Longshoot,Áß°Å¸®½¸ ÈÆ·Ã 10
120,2201,22,5,1,100,2,400,2000,Å°ÇÎ ÈÆ·Ã 1,Å°ÇÎ,Training_Keeping,Å°ÇÎ ÈÆ·Ã 1
121,2202,22,10,2,100,2,800,4000,Å°ÇÎ ÈÆ·Ã 2,Å°ÇÎ,Training_Keeping,Å°ÇÎ ÈÆ·Ã 2
122,2203,22,15,3,100,2,1200,6000,Å°ÇÎ ÈÆ·Ã 3,Å°ÇÎ,Training_Keeping,Å°ÇÎ ÈÆ·Ã 3
123,2204,22,20,4,100,2,1600,8000,Å°ÇÎ ÈÆ·Ã 4,Å°ÇÎ,Training_Keeping,Å°ÇÎ ÈÆ·Ã 4
124,2205,22,25,5,100,2,2000,10000,Å°ÇÎ ÈÆ·Ã 5,Å°ÇÎ,Training_Keeping,Å°ÇÎ ÈÆ·Ã 5
125,2206,22,30,6,100,2,2400,12000,Å°ÇÎ ÈÆ·Ã 6,Å°ÇÎ,Training_Keeping,Å°ÇÎ ÈÆ·Ã 6
126,2207,22,35,7,100,2,2800,14000,Å°ÇÎ ÈÆ·Ã 7,Å°ÇÎ,Training_Keeping,Å°ÇÎ ÈÆ·Ã 7
127,2208,22,40,8,100,2,3200,16000,Å°ÇÎ ÈÆ·Ã 8,Å°ÇÎ,Training_Keeping,Å°ÇÎ ÈÆ·Ã 8
128,2209,22,45,9,100,2,3600,18000,Å°ÇÎ ÈÆ·Ã 9,Å°ÇÎ,Training_Keeping,Å°ÇÎ ÈÆ·Ã 9
129,2210,22,50,10,100,2,4000,20000,Å°ÇÎ ÈÆ·Ã 10,Å°ÇÎ,Training_Keeping,Å°ÇÎ ÈÆ·Ã 10
130,2301,23,5,1,100,2,400,2000,½ºÆ¿ ÈÆ·Ã 1,½ºÆ¿,Training_Steal,½ºÆ¿ ÈÆ·Ã 1
131,2302,23,10,2,100,2,800,4000,½ºÆ¿ ÈÆ·Ã 2,½ºÆ¿,Training_Steal,½ºÆ¿ ÈÆ·Ã 2
132,2303,23,15,3,100,2,1200,6000,½ºÆ¿ ÈÆ·Ã 3,½ºÆ¿,Training_Steal,½ºÆ¿ ÈÆ·Ã 3
133,2304,23,20,4,100,2,1600,8000,½ºÆ¿ ÈÆ·Ã 4,½ºÆ¿,Training_Steal,½ºÆ¿ ÈÆ·Ã 4
134,2305,23,25,5,100,2,2000,10000,½ºÆ¿ ÈÆ·Ã 5,½ºÆ¿,Training_Steal,½ºÆ¿ ÈÆ·Ã 5
135,2306,23,30,6,100,2,2400,12000,½ºÆ¿ ÈÆ·Ã 6,½ºÆ¿,Training_Steal,½ºÆ¿ ÈÆ·Ã 6
136,2307,23,35,7,100,2,2800,14000,½ºÆ¿ ÈÆ·Ã 7,½ºÆ¿,Training_Steal,½ºÆ¿ ÈÆ·Ã 7
137,2308,23,40,8,100,2,3200,16000,½ºÆ¿ ÈÆ·Ã 8,½ºÆ¿,Training_Steal,½ºÆ¿ ÈÆ·Ã 8
138,2309,23,45,9,100,2,3600,18000,½ºÆ¿ ÈÆ·Ã 9,½ºÆ¿,Training_Steal,½ºÆ¿ ÈÆ·Ã 9
139,2310,23,50,10,100,2,4000,20000,½ºÆ¿ ÈÆ·Ã 10,½ºÆ¿,Training_Steal,½ºÆ¿ ÈÆ·Ã 10
140,2401,24,5,1,100,2,400,2000,ÅÂÅ¬ ÈÆ·Ã 1,ÅÂÅ¬,Training_Tackle,ÅÂÅ¬ ÈÆ·Ã 1
141,2402,24,10,2,100,2,800,4000,ÅÂÅ¬ ÈÆ·Ã 2,ÅÂÅ¬,Training_Tackle,ÅÂÅ¬ ÈÆ·Ã 2
142,2403,24,15,3,100,2,1200,6000,ÅÂÅ¬ ÈÆ·Ã 3,ÅÂÅ¬,Training_Tackle,ÅÂÅ¬ ÈÆ·Ã 3
143,2404,24,20,4,100,2,1600,8000,ÅÂÅ¬ ÈÆ·Ã 4,ÅÂÅ¬,Training_Tackle,ÅÂÅ¬ ÈÆ·Ã 4
144,2405,24,25,5,100,2,2000,10000,ÅÂÅ¬ ÈÆ·Ã 5,ÅÂÅ¬,Training_Tackle,ÅÂÅ¬ ÈÆ·Ã 5
145,2406,24,30,6,100,2,2400,12000,ÅÂÅ¬ ÈÆ·Ã 6,ÅÂÅ¬,Training_Tackle,ÅÂÅ¬ ÈÆ·Ã 6
146,2407,24,35,7,100,2,2800,14000,ÅÂÅ¬ ÈÆ·Ã 7,ÅÂÅ¬,Training_Tackle,ÅÂÅ¬ ÈÆ·Ã 7
147,2408,24,40,8,100,2,3200,16000,ÅÂÅ¬ ÈÆ·Ã 8,ÅÂÅ¬,Training_Tackle,ÅÂÅ¬ ÈÆ·Ã 8
148,2409,24,45,9,100,2,3600,18000,ÅÂÅ¬ ÈÆ·Ã 9,ÅÂÅ¬,Training_Tackle,ÅÂÅ¬ ÈÆ·Ã 9
149,2410,24,50,10,100,2,4000,20000,ÅÂÅ¬ ÈÆ·Ã 10,ÅÂÅ¬,Training_Tackle,ÅÂÅ¬ ÈÆ·Ã 10
