Index,Code,Title,Price,Usual,Special,Hair,Tattoo,Shirts,Pants,Glove,Shoes,Socks,Eye,Ear,Neck,Wrist,Arm,Knee
10,110,Short shots,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10
11,111,Long shots,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10
12,112,Ball control,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,50|40|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10
13,113,Stealing,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10
14,114,Tackling,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10
15,115,Catching,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10
16,116,Punching,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10
17,117,Guard,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10
18,200,All abilities,1000,1|1|2|2|3|3,2|2|3|3|4|4,0|0|0|10|5,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5
19,201,All moving abilities,500,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|0|10|5,0|0|20|10|5,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5
20,202,All physical abilities,500,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
21,203,All passing abilities,500,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5
22,204,All shooting abilities,500,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
23,205,All defensive abilities,500,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
24,206,All keeper abilities,500,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
25,300,Success rate of all,500,1|1|2|2|3|3,2|2|3|3|4|4,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5
26,301,Success rate of heading,200,1|2|3|4|5|6,2|3|4|5|6|7,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5
27,302,Success rate of short shots,200,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
28,303,Success rate of long shots,200,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
29,304,Success rate of ball control,200,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5
30,305,Success rate of stealing,200,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
31,306,Success rate of tackling,200,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
32,307,Success rate of struggling,200,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
33,308,Success rate of ball touching,200,1|2|3|4|5|6,2|3|4|5|6|7,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
34,400,Decrease of all cooltime,500,1|1|2|2|3|3,2|2|3|3|4|4,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
35,500,Lucky,1000,1|1|2|2|3|3,2|2|3|3|4|4,0|0|0|10|5,0|0|20|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5
36,501,EXP,2000,1|1|2|2|3|3,2|2|3|3|4|4,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5
37,502,POINTs,2000,1|1|2|2|3|3,2|2|3|3|4|4,0|0|0|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|20|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5,0|0|0|10|5
