Code,POSITION,LEVEL,SKILLCODE,Description,RUN,DRIBBLE,QUICK,STAMINA,ELASTICITY,BODYCHECK,CROSS,SHORTPASS,LONGPASS,HEADSHOOT,SHORTSHOOT,LONGSHOOT,KEEPING,STEAL,TACKLE,CATCH,PUNCH,GUARD,MOVE,BODY,PASS,SHOOT,DEFENSE,GOALKEEP,TALENT
11129,11,29,0,-,94,78,44,39,49,49,74,74,64,49,79,34,73,34,29,0,0,0,0,0,0,0,0,0,0
11130,11,30,0,-,96,81,46,41,51,51,76,76,66,51,82,36,76,36,31,0,0,0,0,0,0,0,0,0,0
11131,11,31,0,-,96,82,46,41,51,51,76,76,66,51,84,36,77,36,31,0,0,0,0,0,0,0,0,0,0
11132,11,32,0,-,97,84,47,42,52,52,77,77,67,52,86,37,79,37,32,0,0,0,0,0,0,0,0,0,0
11133,11,33,0,-,98,85,48,43,53,53,78,78,68,53,87,38,80,38,33,0,0,0,0,0,0,0,0,0,0
11134,11,34,0,-,100,88,50,45,55,55,80,80,70,55,90,40,83,40,35,0,0,0,0,0,0,0,0,0,0
11135,11,35,0,-,101,89,51,46,56,56,81,81,71,56,91,41,84,41,36,0,0,0,0,0,0,0,0,0,0
11136,11,36,0,-,102,91,52,47,57,57,82,82,72,57,93,42,86,42,37,0,0,0,0,0,0,0,0,0,0
11137,11,37,0,-,103,92,53,48,58,58,83,83,73,58,94,43,87,43,38,0,0,0,0,0,0,0,0,0,0
11138,11,38,0,-,105,95,55,50,60,60,85,85,75,60,97,45,90,45,40,0,0,0,0,0,0,0,0,0,0
11139,11,39,0,-,106,96,56,51,61,61,86,86,76,61,98,46,91,46,41,0,0,0,0,0,0,0,0,0,0
11140,11,40,0,-,107,98,57,52,62,62,87,87,77,62,101,47,93,47,42,0,0,0,0,0,0,0,0,0,0
11141,11,41,0,-,108,99,58,53,63,63,88,88,78,63,102,48,94,48,43,0,0,0,0,0,0,0,0,0,0
11142,11,42,0,-,110,102,60,55,65,65,90,90,80,65,105,50,97,50,45,0,0,0,0,0,0,0,0,0,0
11143,11,43,0,-,111,103,61,56,66,66,91,91,81,66,106,51,98,51,46,0,0,0,0,0,0,0,0,0,0
11144,11,44,0,-,112,105,62,57,67,67,92,92,82,67,108,52,100,52,47,0,0,0,0,0,0,0,0,0,0
11145,11,45,0,-,113,106,63,58,68,68,93,93,83,68,109,53,101,53,48,0,0,0,0,0,0,0,0,0,0
11146,11,46,0,-,115,109,65,60,70,70,95,95,85,70,112,55,104,55,50,0,0,0,0,0,0,0,0,0,0
11147,11,47,0,-,116,110,66,61,71,71,96,96,86,71,113,56,105,56,51,0,0,0,0,0,0,0,0,0,0
11148,11,48,0,-,117,112,67,62,72,72,97,97,87,72,115,57,107,57,52,0,0,0,0,0,0,0,0,0,0
11149,11,49,0,-,118,113,68,63,73,73,98,98,88,73,116,58,108,58,53,0,0,0,0,0,0,0,0,0,0
11150,11,50,0,-,120,116,70,65,75,75,100,100,90,75,119,60,111,60,55,0,0,0,0,0,0,0,0,0,0
11201,12,1,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11202,12,2,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11203,12,3,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11204,12,4,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11205,12,5,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11206,12,6,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11207,12,7,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11208,12,8,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11209,12,9,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11210,12,10,0,-,82,47,32,27,37,37,62,62,52,37,47,22,42,22,17,0,0,0,0,0,0,0,0,0,0
11211,12,11,0,-,82,48,32,27,37,37,62,62,52,37,48,22,43,22,17,0,0,0,0,0,0,0,0,0,0
11212,12,12,0,-,83,50,33,28,38,38,63,63,53,38,50,23,45,23,18,0,0,0,0,0,0,0,0,0,0
11213,12,13,0,-,83,51,33,28,38,38,63,63,53,38,51,23,46,23,18,0,0,0,0,0,0,0,0,0,0
11214,12,14,0,-,84,53,34,29,39,39,64,64,54,39,53,24,48,24,19,0,0,0,0,0,0,0,0,0,0
11215,12,15,0,-,85,55,35,30,40,40,65,65,55,40,55,25,50,25,20,0,0,0,0,0,0,0,0,0,0
11216,12,16,0,-,86,57,36,31,41,41,66,66,56,41,57,26,52,26,21,0,0,0,0,0,0,0,0,0,0
11217,12,17,0,-,86,58,36,31,41,41,66,66,56,41,58,26,53,26,21,0,0,0,0,0,0,0,0,0,0
11218,12,18,0,-,87,60,37,32,42,42,67,67,57,42,60,27,55,27,22,0,0,0,0,0,0,0,0,0,0
11219,12,19,0,-,87,61,37,32,42,42,67,67,57,42,61,27,56,27,22,0,0,0,0,0,0,0,0,0,0
11220,12,20,0,-,89,64,39,34,44,44,69,69,59,44,65,29,59,29,24,0,0,0,0,0,0,0,0,0,0
11221,12,21,0,-,89,65,39,34,44,44,69,69,59,44,66,29,60,29,24,0,0,0,0,0,0,0,0,0,0
11222,12,22,0,-,90,67,40,35,45,45,70,70,60,45,68,30,62,30,25,0,0,0,0,0,0,0,0,0,0
11223,12,23,0,-,90,68,40,35,45,45,70,70,60,45,69,30,63,30,25,0,0,0,0,0,0,0,0,0,0
11224,12,24,0,-,91,70,41,36,46,46,71,71,61,46,71,31,65,31,26,0,0,0,0,0,0,0,0,0,0
11225,12,25,0,-,92,72,42,37,47,47,72,72,62,47,73,32,67,32,27,0,0,0,0,0,0,0,0,0,0
11226,12,26,0,-,93,74,43,38,48,48,73,73,63,48,75,33,69,33,28,0,0,0,0,0,0,0,0,0,0
11227,12,27,0,-,93,75,43,38,48,48,73,73,63,48,76,33,70,33,28,0,0,0,0,0,0,0,0,0,0
11228,12,28,0,-,94,77,44,39,49,49,74,74,64,49,78,34,72,34,29,0,0,0,0,0,0,0,0,0,0
11229,12,29,0,-,94,78,44,39,49,49,74,74,64,49,79,34,73,34,29,0,0,0,0,0,0,0,0,0,0
11230,12,30,0,-,96,81,46,41,51,51,76,76,66,51,82,36,76,36,31,0,0,0,0,0,0,0,0,0,0
11231,12,31,0,-,96,82,46,41,51,51,76,76,66,51,84,36,77,36,31,0,0,0,0,0,0,0,0,0,0
11232,12,32,0,-,97,84,47,42,52,52,77,77,67,52,86,37,79,37,32,0,0,0,0,0,0,0,0,0,0
11233,12,33,0,-,98,85,48,43,53,53,78,78,68,53,87,38,80,38,33,0,0,0,0,0,0,0,0,0,0
11234,12,34,0,-,100,88,50,45,55,55,80,80,70,55,90,40,83,40,35,0,0,0,0,0,0,0,0,0,0
11235,12,35,0,-,101,89,51,46,56,56,81,81,71,56,91,41,84,41,36,0,0,0,0,0,0,0,0,0,0
11236,12,36,0,-,102,91,52,47,57,57,82,82,72,57,93,42,86,42,37,0,0,0,0,0,0,0,0,0,0
11237,12,37,0,-,103,92,53,48,58,58,83,83,73,58,94,43,87,43,38,0,0,0,0,0,0,0,0,0,0
11238,12,38,0,-,105,95,55,50,60,60,85,85,75,60,97,45,90,45,40,0,0,0,0,0,0,0,0,0,0
11239,12,39,0,-,106,96,56,51,61,61,86,86,76,61,98,46,91,46,41,0,0,0,0,0,0,0,0,0,0
11240,12,40,0,-,107,98,57,52,62,62,87,87,77,62,101,47,93,47,42,0,0,0,0,0,0,0,0,0,0
11241,12,41,0,-,108,99,58,53,63,63,88,88,78,63,102,48,94,48,43,0,0,0,0,0,0,0,0,0,0
11242,12,42,0,-,110,102,60,55,65,65,90,90,80,65,105,50,97,50,45,0,0,0,0,0,0,0,0,0,0
11243,12,43,0,-,111,103,61,56,66,66,91,91,81,66,106,51,98,51,46,0,0,0,0,0,0,0,0,0,0
11244,12,44,0,-,112,105,62,57,67,67,92,92,82,67,108,52,100,52,47,0,0,0,0,0,0,0,0,0,0
11245,12,45,0,-,113,106,63,58,68,68,93,93,83,68,109,53,101,53,48,0,0,0,0,0,0,0,0,0,0
11246,12,46,0,-,115,109,65,60,70,70,95,95,85,70,112,55,104,55,50,0,0,0,0,0,0,0,0,0,0
11247,12,47,0,-,116,110,66,61,71,71,96,96,86,71,113,56,105,56,51,0,0,0,0,0,0,0,0,0,0
11248,12,48,0,-,117,112,67,62,72,72,97,97,87,72,115,57,107,57,52,0,0,0,0,0,0,0,0,0,0
11249,12,49,0,-,118,113,68,63,73,73,98,98,88,73,116,58,108,58,53,0,0,0,0,0,0,0,0,0,0
11250,12,50,0,-,120,116,70,65,75,75,100,100,90,75,119,60,111,60,55,0,0,0,0,0,0,0,0,0,0
11301,13,1,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11302,13,2,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11303,13,3,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11304,13,4,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11305,13,5,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11306,13,6,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11307,13,7,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11308,13,8,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11309,13,9,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11310,13,10,0,-,82,47,32,27,37,37,62,62,52,37,47,22,42,22,17,0,0,0,0,0,0,0,0,0,0
11311,13,11,0,-,82,48,32,27,37,37,62,62,52,37,48,22,43,22,17,0,0,0,0,0,0,0,0,0,0
11312,13,12,0,-,83,50,33,28,38,38,63,63,53,38,50,23,45,23,18,0,0,0,0,0,0,0,0,0,0
11313,13,13,0,-,83,51,33,28,38,38,63,63,53,38,51,23,46,23,18,0,0,0,0,0,0,0,0,0,0
11314,13,14,0,-,84,53,34,29,39,39,64,64,54,39,53,24,48,24,19,0,0,0,0,0,0,0,0,0,0
11315,13,15,0,-,85,55,35,30,40,40,65,65,55,40,55,25,50,25,20,0,0,0,0,0,0,0,0,0,0
11316,13,16,0,-,86,57,36,31,41,41,66,66,56,41,57,26,52,26,21,0,0,0,0,0,0,0,0,0,0
11317,13,17,0,-,86,58,36,31,41,41,66,66,56,41,58,26,53,26,21,0,0,0,0,0,0,0,0,0,0
11318,13,18,0,-,87,60,37,32,42,42,67,67,57,42,60,27,55,27,22,0,0,0,0,0,0,0,0,0,0
11319,13,19,0,-,87,61,37,32,42,42,67,67,57,42,61,27,56,27,22,0,0,0,0,0,0,0,0,0,0
11320,13,20,0,-,89,64,39,34,44,44,69,69,59,44,65,29,59,29,24,0,0,0,0,0,0,0,0,0,0
11321,13,21,0,-,89,65,39,34,44,44,69,69,59,44,66,29,60,29,24,0,0,0,0,0,0,0,0,0,0
11322,13,22,0,-,90,67,40,35,45,45,70,70,60,45,68,30,62,30,25,0,0,0,0,0,0,0,0,0,0
11323,13,23,0,-,90,68,40,35,45,45,70,70,60,45,69,30,63,30,25,0,0,0,0,0,0,0,0,0,0
11324,13,24,0,-,91,70,41,36,46,46,71,71,61,46,71,31,65,31,26,0,0,0,0,0,0,0,0,0,0
11325,13,25,0,-,92,72,42,37,47,47,72,72,62,47,73,32,67,32,27,0,0,0,0,0,0,0,0,0,0
11326,13,26,0,-,93,74,43,38,48,48,73,73,63,48,75,33,69,33,28,0,0,0,0,0,0,0,0,0,0
11327,13,27,0,-,93,75,43,38,48,48,73,73,63,48,76,33,70,33,28,0,0,0,0,0,0,0,0,0,0
11328,13,28,0,-,94,77,44,39,49,49,74,74,64,49,78,34,72,34,29,0,0,0,0,0,0,0,0,0,0
11329,13,29,0,-,94,78,44,39,49,49,74,74,64,49,79,34,73,34,29,0,0,0,0,0,0,0,0,0,0
11330,13,30,0,-,96,81,46,41,51,51,76,76,66,51,82,36,76,36,31,0,0,0,0,0,0,0,0,0,0
11331,13,31,0,-,96,82,46,41,51,51,76,76,66,51,84,36,77,36,31,0,0,0,0,0,0,0,0,0,0
11332,13,32,0,-,97,84,47,42,52,52,77,77,67,52,86,37,79,37,32,0,0,0,0,0,0,0,0,0,0
11333,13,33,0,-,98,85,48,43,53,53,78,78,68,53,87,38,80,38,33,0,0,0,0,0,0,0,0,0,0
11334,13,34,0,-,100,88,50,45,55,55,80,80,70,55,90,40,83,40,35,0,0,0,0,0,0,0,0,0,0
11335,13,35,0,-,101,89,51,46,56,56,81,81,71,56,91,41,84,41,36,0,0,0,0,0,0,0,0,0,0
11336,13,36,0,-,102,91,52,47,57,57,82,82,72,57,93,42,86,42,37,0,0,0,0,0,0,0,0,0,0
11337,13,37,0,-,103,92,53,48,58,58,83,83,73,58,94,43,87,43,38,0,0,0,0,0,0,0,0,0,0
11338,13,38,0,-,105,95,55,50,60,60,85,85,75,60,97,45,90,45,40,0,0,0,0,0,0,0,0,0,0
11339,13,39,0,-,106,96,56,51,61,61,86,86,76,61,98,46,91,46,41,0,0,0,0,0,0,0,0,0,0
11340,13,40,0,-,107,98,57,52,62,62,87,87,77,62,101,47,93,47,42,0,0,0,0,0,0,0,0,0,0
11341,13,41,0,-,108,99,58,53,63,63,88,88,78,63,102,48,94,48,43,0,0,0,0,0,0,0,0,0,0
11342,13,42,0,-,110,102,60,55,65,65,90,90,80,65,105,50,97,50,45,0,0,0,0,0,0,0,0,0,0
11343,13,43,0,-,111,103,61,56,66,66,91,91,81,66,106,51,98,51,46,0,0,0,0,0,0,0,0,0,0
11344,13,44,0,-,112,105,62,57,67,67,92,92,82,67,108,52,100,52,47,0,0,0,0,0,0,0,0,0,0
11345,13,45,0,-,113,106,63,58,68,68,93,93,83,68,109,53,101,53,48,0,0,0,0,0,0,0,0,0,0
11346,13,46,0,-,115,109,65,60,70,70,95,95,85,70,112,55,104,55,50,0,0,0,0,0,0,0,0,0,0
11347,13,47,0,-,116,110,66,61,71,71,96,96,86,71,113,56,105,56,51,0,0,0,0,0,0,0,0,0,0
11348,13,48,0,-,117,112,67,62,72,72,97,97,87,72,115,57,107,57,52,0,0,0,0,0,0,0,0,0,0
11349,13,49,0,-,118,113,68,63,73,73,98,98,88,73,116,58,108,58,53,0,0,0,0,0,0,0,0,0,0
11350,13,50,0,-,120,116,70,65,75,75,100,100,90,75,119,60,111,60,55,0,0,0,0,0,0,0,0,0,0
11401,14,1,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11402,14,2,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11403,14,3,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11404,14,4,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11405,14,5,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11406,14,6,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11407,14,7,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11408,14,8,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11409,14,9,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11410,14,10,0,-,82,47,32,27,37,37,62,62,52,37,47,22,42,22,17,0,0,0,0,0,0,0,0,0,0
11411,14,11,0,-,82,48,32,27,37,37,62,62,52,37,48,22,43,22,17,0,0,0,0,0,0,0,0,0,0
