Index,Code,Limit,Free,New,Amount,Discount,Sell,Cash,Point,Time,Winner0,Winner1,Winner2,Winner3,Winner4,Winner5,Loser0,Loser1,Loser2,Loser3,Loser4,Loser5,Name,CameraFile,Nif,IconFile,Explain,Name,CameraFile,Nif,IconFile,Explain
10,10003,0,0,0,1,100,2,0,10000,5.5,73050101,73050102,73050103,73050104,73050105,73000106,73050201,73050202,73050203,73050204,73050205,73000206,”Œ—Ì…,73050101_Ca,0,Cere_10003,-,”Œ—Ì…,73050101_Ca,0,Cere_10003,-
11,10004,0,0,0,1,100,1,50,0,4,73090101,73090102,73090103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«·—ﬁ’… «·ﬂÊ—Ì… ,73090101_Ca,0,Cere_10004,-,«·—ﬁ’… «·ﬂÊ—Ì… ,73090101_Ca,0,Cere_10004,-
12,10005,0,0,0,1,100,1,50,0,8.4,73100101,73100102,73100103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«·—ﬁ’… «·«›—ÌﬁÌ…,73100101_Ca,0,Cere_10005,-,«·—ﬁ’… «·«›—ÌﬁÌ…,73100101_Ca,0,Cere_10005,-
13,10006,0,0,0,1,100,1,50,0,4,73110101,73110102,73110103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,”»—‰€,73110101_Ca,0,Cere_10006,-,”»—‰€,73110101_Ca,0,Cere_10006,-
14,10007,0,0,0,1,100,1,50,0,4,73120101,73120102,73120103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,—ÊÌ ﬂ«Ì‰,73120101_Ca,0,Cere_10007,-,—ÊÌ ﬂ«Ì‰,73120101_Ca,0,Cere_10007,-
15,10008,0,0,0,1,100,1,50,0,5.5,73130101,73130102,73130103,73130104,73000105,73000106,73130201,73130202,73130203,73130204,73130205,73000206,”Œ—Ì… «·”Â„,73130101_Ca,0,Cere_10008,-,”Œ—Ì… «·”Â„,73130101_Ca,0,Cere_10008,-
16,1071,0,0,0,1,0,0,0,0,3.5,73710101,73710102,73000103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«ﬂ„·  «·œ·Ì· 1,73710101_Ca,0,Cere_1071,-,«ﬂ„·  «·œ·Ì· 1,73710101_Ca,0,Cere_1071,-
17,1072,0,0,0,1,0,0,0,0,3,73720101,73720102,73000103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«ﬂ„·  «·œ·Ì· 2,73720101_Ca,0,Cere_1072,-,«ﬂ„·  «·œ·Ì· 2,73720101_Ca,0,Cere_1072,-
18,1073,0,0,0,1,0,0,0,0,4,73780101,73780102,73780103,73780104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«‰Â«¡ «·œ·Ì·,73780101_Ca,0,Cere_1072,-,«‰Â«¡ «·œ·Ì·,73780101_Ca,0,Cere_1072,-
19,1074,0,0,0,1,0,0,0,0,4,73790101,73790102,73790103,73790104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,›‘· ›Ì «·œ·Ì·,73790101_Ca,0,Cere_1072,-,›‘· ›Ì «·œ·Ì·,73790101_Ca,0,Cere_1072,-
20,1081,0,0,0,1,0,0,0,0,4,73810101,73810102,73810103,73810104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,Âœ›ﬂ,73810101_Ca,0,Cere_1081,-,Âœ›ﬂ,73810101_Ca,0,Cere_1081,-
21,1091,0,0,0,1,0,0,0,0,4,73910101,73910102,73910103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«·Âœ› «·–Â»Ì,73910101_Ca,0,Cere_1091,-,«·Âœ› «·–Â»Ì,73910101_Ca,0,Cere_1091,-
