Index,Code,FacultyName,FacultyCode,SituationText,SituationCode,RATIO1,RATIO2,LEVEL5,LEVEL10,LEVEL15,LEVEL20,LEVEL25,LEVEL30,LEVEL35,LEVEL40,LEVEL45,LEVEL50,BONUS_RATE,PRICE,HAIR,TATTOO,SHIRTS,PANTS,GLOVE,SHOES,SOCKS,EYE,EAR,NECK,MASK,MUFFLER,BAG,WRIST,ARM,KNEE,RARE_RATIO,SPECIAL_RATIO
10,10010900,헤딩슛,109,항상,100,50,510,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
11,10011000,단거리슛,110,항상,100,50,560,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
12,10011100,중거리슛,111,항상,100,50,610,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
13,10011200,키핑,112,항상,100,50,660,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
14,10011300,스틸,113,항상,100,50,710,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
15,10011400,태클,114,항상,100,50,760,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
16,10020000,공격력,200,항상,100,20,780,3,4,5,5,5,5,5,5,6,7,40,50,5,5,20,20,10,150,10,5,5,5,5,10,10,10,10,10,50,200
17,10020100,수비력,201,항상,100,20,800,3,4,5,5,5,5,5,5,6,7,40,50,5,5,20,20,10,150,10,5,5,5,5,10,10,10,10,10,50,200
18,10020200,제공권,202,항상,100,20,820,3,4,5,5,5,5,5,5,6,7,40,50,5,5,20,20,10,150,10,5,5,5,5,10,10,10,10,10,50,200
19,10020300,패스능력,203,항상,100,20,840,3,4,5,5,5,5,5,5,6,7,40,50,5,5,20,20,10,150,10,5,5,5,5,10,10,10,10,10,50,200
20,10020400,이동능력,204,항상,100,20,860,3,4,5,5,5,5,5,5,6,7,40,50,5,5,20,20,10,150,10,5,5,5,5,10,10,10,10,10,50,200
21,10020500,체력,205,항상,100,20,880,3,4,5,5,5,5,5,5,6,7,40,50,5,5,20,20,10,150,10,5,5,5,5,10,10,10,10,10,50,200
22,10020600,돌파력,206,항상,100,20,900,3,4,5,5,5,5,5,5,6,7,40,50,5,5,20,20,10,150,10,5,5,5,2,10,10,10,10,10,50,200
23,10020800,모든 치명타,208,항상,100,20,920,3,3,3,4,4,4,4,5,5,6,40,50,3,2,30,1,1,150,5,5,2,2,2,2,2,2,2,2,50,200
24,10020900,스킬 쿨타임 감소,209,항상,100,20,940,3,3,3,4,4,4,6,6,7,7,40,50,1,1,10,10,10,10,1,1,80,1,1,1,1,1,1,1,50,200
25,10030000,행운,300,항상,100,10,950,5,6,7,8,9,10,11,12,13,14,100,100,1,200,10,10,10,10,10,30,30,30,30,10,10,10,10,10,50,200
26,10030100,경험치,301,항상,100,5,955,5,5,5,7,7,7,7,8,8,9,100,200,1,1,5,5,5,5,5,20,20,20,20,5,5,5,5,5,50,200
27,10030200,포인트,302,항상,100,5,960,5,5,5,7,7,7,7,8,8,9,100,200,1,1,5,5,5,5,5,30,30,30,30,5,5,5,5,5,50,200
28,10021000,치명적 단거리율,210,항상,100,50,1010,2,2,4,4,6,6,8,8,10,10,40,20,30,30,30,30,30,30,30,30,30,30,30,30,30,100,100,100,0,0
29,10021100,치명적 중거리율,211,항상,100,50,1060,2,2,4,4,6,6,8,8,10,10,40,20,30,30,30,30,30,30,30,30,30,30,30,30,30,100,100,100,0,0
30,10021200,치명적 태클율,212,항상,100,50,1110,2,2,4,4,6,6,8,8,10,10,100,20,30,30,30,30,30,30,30,30,30,30,30,30,30,100,100,100,0,0
31,10021300,치명적 스틸율,213,항상,100,50,1160,2,2,4,4,6,6,8,8,10,10,160,20,30,30,30,30,30,30,30,30,30,30,30,30,30,100,100,100,0,0
32,10021400,치명적 헤딩율,214,항상,100,50,1210,2,2,4,4,6,6,8,8,10,10,160,20,30,30,30,30,30,30,30,30,30,30,30,30,30,100,100,100,0,0
33,10020700,모든 능력치,207,항상,100,10,1220,1,1,1,1,2,2,2,2,2,2,100,100,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,50,100
34,10010000,달리기,100,항상,100,50,1270,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
35,10010100,드리블,101,항상,100,50,1320,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
36,10010200,순발력,102,항상,100,50,1370,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
37,10010300,지구력,103,항상,100,50,1420,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
38,10010400,탄력,104,항상,100,50,1470,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
39,10010500,몸싸움,105,항상,100,50,1520,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
40,10010600,크로스,106,항상,100,50,1570,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
41,10010700,숏패스,107,항상,100,50,1620,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
42,10010800,롱패스,108,항상,100,50,1670,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
43,10010900,헤딩슛,109,항상,100,50,1720,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
44,10011000,단거리슛,110,항상,100,50,1770,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
45,10011100,중거리슛,111,항상,100,50,1820,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
46,10011200,키핑,112,항상,100,50,1870,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
47,10011300,스틸,113,항상,100,50,1920,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
48,10011400,태클,114,항상,100,50,1970,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
49,10020000,공격력,200,항상,100,20,1990,1,1,1,2,2,2,2,3,3,3,40,50,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
50,10020100,수비력,201,항상,100,20,2010,1,1,1,2,2,2,2,3,3,3,40,50,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
51,10020200,제공권,202,항상,100,20,2030,1,1,1,2,2,2,2,3,3,3,40,50,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
52,10020300,패스능력,203,항상,100,20,2050,1,1,1,2,2,2,2,3,3,3,40,50,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
53,10020400,이동능력,204,항상,100,20,2070,1,1,1,2,2,2,2,3,3,3,40,50,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
54,10020500,체력,205,항상,100,20,2090,1,1,1,2,2,2,2,3,3,3,40,50,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
55,10020600,돌파력,206,항상,100,20,2110,1,1,1,2,2,2,2,3,3,3,40,50,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
56,10020800,모든 치명타,208,항상,100,20,2130,1,1,1,2,2,2,2,3,3,3,40,50,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
57,10020900,스킬 쿨타임 감소,209,항상,100,20,2150,1,1,1,2,2,2,2,3,3,3,40,50,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
58,10030000,행운,300,항상,100,10,2160,1,1,1,2,2,2,2,3,3,3,100,100,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
59,10030100,경험치,301,항상,100,5,2165,1,1,1,2,2,2,2,3,3,3,100,200,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
60,10030200,포인트,302,항상,100,5,2170,1,1,1,2,2,2,2,3,3,3,100,200,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
61,10021000,치명적 단거리율,210,항상,100,50,2220,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
62,10021100,치명적 중거리율,211,항상,100,50,2270,1,1,1,2,2,2,2,3,3,3,40,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
63,10021200,치명적 태클율,212,항상,100,50,2320,1,1,1,2,2,2,2,3,3,3,100,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
64,10021300,치명적 스틸율,213,항상,100,50,2370,1,1,1,2,2,2,2,3,3,3,160,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
65,10021400,치명적 헤딩율,214,항상,100,50,2420,1,1,1,2,2,2,2,3,3,3,160,20,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,-100,-100
66,10120700,모든 능력치,207,이기고 있을 때,101,20,2440,2,3,4,4,5,5,6,6,7,7,100,50,10,10,60,60,20,60,5,10,10,10,10,20,20,20,20,20,20,40
67,10110000,달리기,100,이기고 있을 때,101,100,2540,3,3,4,5,6,7,8,9,10,11,20,10,5,30,30,30,30,100,100,30,30,30,30,30,30,30,30,100,0,0
68,10110100,드리블,101,이기고 있을 때,101,100,2640,3,3,4,5,6,7,8,9,10,11,20,10,30,30,100,100,100,30,30,30,30,30,30,30,30,30,30,30,0,0
69,10110200,순발력,102,이기고 있을 때,101,100,2740,3,3,4,5,6,7,8,9,10,11,20,10,100,5,30,30,30,30,30,30,30,30,30,30,30,30,30,100,0,0
70,10110300,지구력,103,이기고 있을 때,101,100,2840,3,3,4,5,6,7,8,9,10,11,20,10,30,100,5,30,30,100,100,100,30,30,30,30,30,30,30,30,0,0
71,10110400,탄력,104,이기고 있을 때,101,100,2940,3,3,4,5,6,7,8,9,10,11,20,10,30,100,30,5,30,30,30,30,100,100,100,100,30,30,30,30,0,0
72,10110500,몸싸움,105,이기고 있을 때,101,100,3040,3,3,4,5,6,7,8,9,10,11,20,10,30,30,30,30,5,30,30,30,30,30,30,30,100,100,100,100,0,0
73,10110600,크로스,106,이기고 있을 때,101,100,3140,3,3,4,5,6,7,8,9,10,11,20,10,100,30,30,100,100,5,100,30,30,30,30,30,30,30,30,30,0,0
74,10110700,숏패스,107,이기고 있을 때,101,100,3240,3,3,4,5,6,7,8,9,10,11,20,10,100,30,30,100,30,30,5,100,30,30,30,30,30,30,30,30,0,0
75,10110800,롱패스,108,이기고 있을 때,101,100,3340,3,3,4,5,6,7,8,9,10,11,20,10,100,30,30,100,30,30,50,5,100,30,30,30,30,30,100,30,0,0
76,10110900,헤딩슛,109,이기고 있을 때,101,100,3440,3,3,4,5,6,7,8,9,10,11,20,10,100,30,30,100,100,30,50,30,5,100,30,30,30,100,100,100,0,0
77,10111000,단거리슛,110,이기고 있을 때,101,100,3540,3,3,4,5,6,6,6,6,6,6,20,10,15,15,15,15,15,100,15,15,15,15,15,15,15,15,15,15,0,0
78,10111100,중거리슛,111,이기고 있을 때,101,100,3640,3,3,4,5,6,6,6,6,6,6,20,10,15,15,15,15,15,100,15,15,15,15,5,15,15,15,15,15,0,0
79,10111200,키핑,112,이기고 있을 때,101,100,3740,3,3,4,5,6,6,6,6,6,6,20,10,30,30,100,30,30,100,50,100,100,100,30,5,30,30,100,30,0,0
80,10111300,스틸,113,이기고 있을 때,101,100,3840,3,3,4,5,6,6,6,6,6,6,20,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0
81,10111400,태클,114,이기고 있을 때,101,100,3940,3,3,4,5,6,6,6,6,6,6,20,10,15,15,100,15,15,15,50,30,30,30,30,30,30,5,100,100,0,0
82,10120000,공격력,200,이기고 있을 때,101,40,3980,2,3,3,4,4,4,5,5,5,5,80,25,10,10,10,10,10,50,30,20,20,20,20,20,20,20,20,20,20,40
83,10120100,수비력,201,이기고 있을 때,101,40,4020,3,4,5,5,6,6,7,7,8,9,80,25,10,10,10,10,50,10,10,10,10,10,10,10,10,50,50,50,20,40
84,10120200,제공권,202,이기고 있을 때,101,40,4060,3,4,5,5,6,6,7,7,8,9,80,25,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,40
85,10120300,패스능력,203,이기고 있을 때,101,40,4100,3,4,5,5,6,6,7,7,8,9,80,25,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,20,40
86,10120400,이동능력,204,이기고 있을 때,101,40,4140,3,4,5,5,6,6,7,7,8,9,80,25,10,10,10,10,10,10,50,10,10,10,10,10,10,10,10,10,20,40
87,10120500,체력,205,이기고 있을 때,101,40,4180,3,4,5,5,6,6,7,7,8,9,80,25,10,10,50,10,10,10,10,10,10,10,10,10,10,10,10,10,20,40
88,10120600,돌파력,206,이기고 있을 때,101,40,4220,3,4,5,5,6,6,7,7,8,9,80,25,10,10,10,50,10,10,10,10,10,10,10,10,10,10,10,10,20,40
89,10220700,모든 능력치,207,지고 있을 때,102,40,4260,5,7,8,8,9,9,10,10,11,11,108,25,10,10,60,60,20,60,5,10,10,10,10,20,20,20,20,20,20,40
90,10210000,달리기,100,지고 있을 때,102,120,4380,6,7,8,9,10,11,12,13,14,15,28,8,5,30,30,30,30,100,100,30,30,30,30,30,30,30,30,100,0,0
91,10210100,드리블,101,지고 있을 때,102,120,4500,6,7,8,9,10,11,12,13,14,15,28,8,30,30,100,100,100,30,30,30,30,30,30,30,30,30,30,30,0,0
92,10210200,순발력,102,지고 있을 때,102,120,4620,6,7,8,9,10,11,12,13,14,15,28,8,100,5,30,30,30,30,30,30,30,30,30,30,30,30,30,100,0,0
93,10210300,지구력,103,지고 있을 때,102,120,4740,6,7,8,9,10,11,12,13,14,15,28,8,30,100,5,30,30,100,100,100,30,30,30,30,30,30,30,30,0,0
94,10210400,탄력,104,지고 있을 때,102,120,4860,6,7,8,9,10,11,12,13,14,15,28,8,30,100,30,5,30,30,30,30,100,100,100,100,30,30,30,30,0,0
95,10210500,몸싸움,105,지고 있을 때,102,120,4980,6,7,8,9,10,11,12,13,14,15,28,8,30,30,30,30,5,30,30,30,30,30,30,30,100,100,100,100,0,0
96,10210600,크로스,106,지고 있을 때,102,120,5100,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,100,5,100,30,30,30,30,30,30,30,30,30,0,0
97,10210700,숏패스,107,지고 있을 때,102,120,5220,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,30,30,5,100,30,30,30,30,30,30,30,30,0,0
98,10210800,롱패스,108,지고 있을 때,102,120,5340,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,30,30,50,5,100,30,30,30,30,30,100,30,0,0
99,10210900,헤딩슛,109,지고 있을 때,102,120,5460,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,100,30,50,30,5,100,30,30,30,100,100,100,0,0
100,10211000,단거리슛,110,지고 있을 때,102,120,5580,6,7,8,9,10,11,12,13,14,15,28,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0
101,10211100,중거리슛,111,지고 있을 때,102,120,5700,6,7,8,9,10,11,12,13,14,15,28,8,15,15,15,15,15,100,15,15,15,15,5,15,15,15,15,15,0,0
102,10211200,키핑,112,지고 있을 때,102,120,5820,6,7,8,9,10,11,12,13,14,15,28,8,30,30,100,30,30,100,50,100,100,100,30,5,30,30,100,30,0,0
103,10211300,스틸,113,지고 있을 때,102,120,5940,6,7,8,9,10,11,12,13,14,15,28,8,15,15,100,15,15,15,50,100,100,100,100,100,5,100,100,5,0,0
104,10211400,태클,114,지고 있을 때,102,120,6060,6,7,8,9,10,11,12,13,14,15,28,8,15,15,100,15,15,15,50,30,30,30,30,30,30,5,100,100,0,0
105,10220000,공격력,200,지고 있을 때,102,30,6090,7,8,9,9,10,10,11,11,12,13,88,33,10,10,10,10,10,50,30,20,20,20,20,20,20,20,20,20,20,40
106,10220100,수비력,201,지고 있을 때,102,30,6120,7,8,9,9,10,10,11,11,12,13,88,33,10,10,10,10,50,10,10,10,10,10,10,10,10,50,50,50,20,40
107,10220200,제공권,202,지고 있을 때,102,30,6150,7,8,9,9,10,10,11,11,12,13,88,33,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,40
108,10220300,패스능력,203,지고 있을 때,102,30,6180,7,8,9,9,10,10,11,11,12,13,88,33,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,20,40
109,10220400,이동능력,204,지고 있을 때,102,30,6210,7,8,9,9,10,10,11,11,12,13,88,33,10,10,10,10,10,10,50,10,10,10,10,10,10,10,10,10,20,40
110,10220500,체력,205,지고 있을 때,102,30,6240,7,8,9,9,10,10,11,11,12,13,88,33,10,10,50,10,10,10,10,10,10,10,10,10,10,10,10,10,20,40
111,10220600,돌파력,206,지고 있을 때,102,30,6270,7,8,9,9,10,10,11,11,12,13,88,33,10,10,10,50,10,10,10,10,10,10,10,10,10,10,10,10,20,40
112,10221000,치명적 단거리율,210,지고 있을 때,102,130,6400,2,2,4,4,6,6,8,8,10,10,40,7,130,130,5,5,5,5,5,130,130,130,130,130,10,10,10,10,20,40
113,10221100,치명적 중거리율,211,지고 있을 때,102,130,6530,2,2,4,4,6,6,8,8,10,10,40,7,130,130,5,5,5,5,5,130,130,130,130,130,10,10,10,10,0,0
114,10221200,치명적 태클율,212,지고 있을 때,102,130,6660,2,2,4,4,6,6,8,8,10,10,100,7,130,130,5,5,5,5,5,130,130,130,130,130,10,10,10,10,0,0
115,10221300,치명적 스틸율,213,지고 있을 때,102,130,6790,2,2,4,4,6,6,8,8,10,10,160,7,130,130,5,5,5,5,5,130,130,130,130,130,10,10,10,10,0,0
116,10221400,치명적 헤딩율,214,지고 있을 때,102,130,6920,2,2,4,4,6,6,8,8,10,10,160,7,130,130,5,5,5,5,5,130,130,130,130,130,10,10,10,10,0,0
117,10320700,모든 능력치,207,연장전에서,103,40,6960,5,7,8,8,9,9,10,10,11,11,108,25,10,10,60,60,20,60,5,10,10,10,10,20,20,20,20,20,0,0
118,10310000,달리기,100,연장전에서,103,120,7080,6,7,8,9,10,11,12,13,14,15,28,8,5,30,30,30,30,100,100,30,30,30,30,30,200,30,30,100,0,0
119,10310100,드리블,101,연장전에서,103,120,7200,6,7,8,9,10,11,12,13,14,15,28,8,30,30,100,100,100,30,30,30,30,30,30,30,200,30,30,30,0,0
120,10310200,순발력,102,연장전에서,103,120,7320,6,7,8,9,10,11,12,13,14,15,28,8,100,5,30,30,30,30,30,30,30,30,30,30,200,30,30,100,0,0
121,10310300,지구력,103,연장전에서,103,120,7440,6,7,8,9,10,11,12,13,14,15,28,8,30,100,5,30,30,100,100,100,30,30,30,30,200,30,30,30,0,0
122,10310400,탄력,104,연장전에서,103,120,7560,6,7,8,9,10,11,12,13,14,15,28,8,30,100,30,5,30,30,30,30,100,100,100,100,200,30,30,30,0,0
123,10310500,몸싸움,105,연장전에서,103,120,7680,6,7,8,9,10,11,12,13,14,15,28,8,30,30,30,30,5,30,30,30,30,30,30,30,200,100,100,100,0,0
124,10310600,크로스,106,연장전에서,103,120,7800,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,100,5,100,30,30,30,30,30,200,30,30,30,0,0
125,10310700,숏패스,107,연장전에서,103,120,7920,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,30,30,5,100,30,30,30,30,200,30,30,30,0,0
126,10310800,롱패스,108,연장전에서,103,120,8040,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,30,30,50,5,100,30,30,30,200,30,100,30,0,0
127,10310900,헤딩슛,109,연장전에서,103,120,8160,6,7,8,9,10,11,12,13,14,15,28,8,100,100,100,100,100,100,100,100,100,100,100,100,200,100,100,100,0,0
128,10311000,단거리슛,110,연장전에서,103,120,8280,6,7,8,9,10,11,12,13,14,15,28,8,15,15,15,15,15,100,15,15,15,15,15,15,200,15,15,15,0,0
129,10311100,중거리슛,111,연장전에서,103,120,8400,6,7,8,9,10,11,12,13,14,15,28,8,15,15,15,15,15,100,15,15,15,15,5,15,200,15,15,15,0,0
130,10311200,키핑,112,연장전에서,103,120,8520,6,7,8,9,10,11,12,13,14,15,28,8,30,30,100,30,30,100,50,100,100,100,30,5,200,30,100,30,0,0
131,10311300,스틸,113,연장전에서,103,120,8640,6,7,8,9,10,11,12,13,14,15,28,8,15,15,100,15,15,15,50,100,100,100,100,100,200,100,100,5,0,0
132,10311400,태클,114,연장전에서,103,120,8760,6,7,8,9,10,11,12,13,14,15,28,8,15,15,100,15,15,15,50,30,30,30,30,30,200,5,100,100,0,0
133,10320000,공격력,200,연장전에서,103,30,8790,7,8,9,9,10,10,11,11,12,13,88,33,10,10,10,10,10,50,30,20,20,20,20,20,20,20,20,20,20,40
134,10320100,수비력,201,연장전에서,103,30,8820,7,8,9,9,10,10,11,11,12,13,88,33,10,10,10,10,50,10,10,10,10,10,10,10,10,50,50,50,20,40
135,10320200,제공권,202,연장전에서,103,30,8850,7,8,9,9,10,10,11,11,12,13,88,33,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,40
136,10320300,패스능력,203,연장전에서,103,30,8880,7,8,9,9,10,10,11,11,12,13,88,33,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,20,40
137,10320400,이동능력,204,연장전에서,103,30,8910,7,8,9,9,10,10,11,11,12,13,88,33,10,10,10,10,10,10,50,10,10,10,10,10,10,10,10,10,20,40
138,10320500,체력,205,연장전에서,103,30,8940,7,8,9,9,10,10,11,11,12,13,88,33,10,10,50,10,10,10,10,10,10,10,10,10,10,10,10,10,20,40
139,10320600,돌파력,206,연장전에서,103,30,8970,7,8,9,9,10,10,11,11,12,13,88,33,10,10,10,50,10,10,10,10,10,10,10,10,10,10,10,10,20,40
140,10321000,치명적 단거리율,210,연장전에서,103,130,9100,2,2,4,4,6,6,8,8,10,10,40,7,130,130,5,5,5,5,5,130,130,130,130,130,10,10,10,10,20,40
141,10321100,치명적 중거리율,211,연장전에서,103,130,9230,2,2,4,4,6,6,8,8,10,10,40,7,130,130,5,5,5,5,5,130,130,130,130,130,10,10,10,10,0,0
142,10321200,치명적 태클율,212,연장전에서,103,130,9360,2,2,4,4,6,6,8,8,10,10,100,7,130,130,5,5,5,5,5,130,130,130,130,130,10,10,10,10,0,0
143,10321300,치명적 스틸율,213,연장전에서,103,130,9490,2,2,4,4,6,6,8,8,10,10,160,7,130,130,5,5,5,5,5,130,130,130,130,130,10,10,10,10,0,0
144,10321400,치명적 헤딩율,214,연장전에서,103,130,9620,2,2,4,4,6,6,8,8,10,10,160,7,130,130,5,5,5,5,5,130,130,130,130,130,10,10,10,10,0,0
145,10420700,모든 능력치,207,2점+ 패배상황에서,104,40,9660,5,7,8,8,9,9,10,10,11,11,108,25,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0
146,10410000,달리기,100,2점+ 패배상황에서,104,120,9780,6,7,8,9,10,11,12,13,14,15,28,8,5,30,30,30,30,100,100,30,30,30,30,30,30,30,30,100,0,0
147,10410100,드리블,101,2점+ 패배상황에서,104,120,9900,6,7,8,9,10,11,12,13,14,15,28,8,30,30,100,100,100,30,30,30,30,30,30,30,30,30,30,30,0,0
148,10410200,순발력,102,2점+ 패배상황에서,104,120,10020,6,7,8,9,10,11,12,13,14,15,28,8,100,5,30,30,30,30,30,30,30,30,30,30,30,30,30,100,0,0
149,10410300,지구력,103,2점+ 패배상황에서,104,120,10140,6,7,8,9,10,11,12,13,14,15,28,8,30,100,5,30,30,100,100,100,30,30,30,30,30,30,30,30,0,0
150,10410400,탄력,104,2점+ 패배상황에서,104,120,10260,6,7,8,9,10,11,12,13,14,15,28,8,30,100,30,5,30,30,30,30,100,100,100,100,30,30,30,30,0,0
151,10410500,몸싸움,105,2점+ 패배상황에서,104,120,10380,6,7,8,9,10,11,12,13,14,15,28,8,30,30,30,30,5,30,30,30,30,30,30,30,100,100,100,100,0,0
152,10410600,크로스,106,2점+ 패배상황에서,104,120,10500,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,100,5,100,30,30,30,30,30,30,30,30,30,0,0
153,10410700,숏패스,107,2점+ 패배상황에서,104,120,10620,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,30,30,5,100,30,30,30,30,30,30,30,30,0,0
154,10410800,롱패스,108,2점+ 패배상황에서,104,120,10740,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,30,30,50,5,100,30,30,30,30,30,100,30,0,0
155,10410900,헤딩슛,109,2점+ 패배상황에서,104,120,10860,6,7,8,9,10,11,12,13,14,15,28,8,100,30,30,100,100,30,50,30,5,100,30,30,30,100,100,100,0,0
