Code,UiFile,Korean,English
50008,ChoiceClass.ui,슈팅,Shooting
50009,ChoiceClass.ui,클리어,Ball Clear
50010,ChoiceClass.ui,2차 전직보기,2nd position growth
50011,ChoiceClass.ui,1차 전직보기,1st position growth
60001,ChoiceReplay.ui,리플레이,Replay
60002,ChoiceReplay.ui,포지션,Position
60003,ChoiceReplay.ui,캐릭터이름,Name
60004,ChoiceReplay.ui,득점,Goals
60005,ChoiceReplay.ui,어시스트,Assist
60006,ChoiceReplay.ui,평점,Vote
70001,ChoiceRoom.ui,스킬샵,Skill Shop
70002,ChoiceRoom.ui,유저정보,Information
70003,ChoiceRoom.ui,아이템샵,Item Shop
70004,ChoiceRoom.ui,아이템 인벤,Item Inventory
70005,ChoiceRoom.ui,퀘스트,Quest
70006,ChoiceRoom.ui,귓속말,Whisper
70007,ChoiceRoom.ui,방정렬,Order
70008,ChoiceRoom.ui,전직을 수행하지 않았습니다.\전직창으로 이동합니다.,You didn't perform upgrading your\character position. Move to the page for\the job.
70009,ChoiceRoom.ui,모두,All
70010,ChoiceRoom.ui,일반전,Normal
70011,ChoiceRoom.ui,대기방,Waiting
70012,ChoiceRoom.ui,퀘스트,Quest
70013,ChoiceRoom.ui,친구추가,Add Friend
70014,ChoiceRoom.ui,차단추가,Add Ignore
70015,ChoiceRoom.ui,정보보기,Detail
70016,ChoiceRoom.ui,로비,Lobby
70017,ChoiceRoom.ui,럭키볼,Lucky Ball
70018,ChoiceRoom.ui,시스템 ,System
70019,ChoiceRoom.ui,스킬 인벤,Skill Inventory
70020,ChoiceRoom.ui,가상의 AI 선수들과 연습을 할수 있는 모드입니다. 자신의 기량을 AI들을 상대로 연습할 수 있습니다. 해당 모드에서의 기록 DATA는 반영되지 않습니다.,This is single match with AI players. You can practise with AI players.  The record is not apply the data in practise mode.
70021,ChoiceRoom.ui,자신이 보유하고 있는 AI카드와 AI선수들과 연습을 할수 있는 모드 입니다. 자신이 보유하고 있는 AI카드의 특성등을 파악해 보세요. \! 주의 - AI카드를 구입 후 장착해야 연습경기가 가능합니다.,"This is single match with your AI card. Figure out  the characteristic of your AI card. Warning: If you want to have a single match, you have to equip a AI card in your card inventory!"
70022,ChoiceRoom.ui,추후 지원할 예정입니다.,Not in service
70023,ChoiceRoom.ui,자신 AI선수와 다른 유저의 AI선수와 경기를 할 수 있는 모드 입니다. AI 선수들과의 호흡이 중요 합니다.\! 주의 - 참가하기 위해서는 AI카드를 먼저 등록하셔야 합니다. ,"This is single match with the other player.  Figure out  the characteristic of your AI card. Warning: If you want to have a single match, we have to equip a AI card in your card inventory!"
70024,ChoiceRoom.ui,자신의 AI선수가 아닌 자동으로 밸런스가 맞춰진 AI선수들과 함께 경기를 할 수 있는 모드입니다. AI선수 밸런스는 자동으로 조정됩니다.,This is single match with balanced AI. The balance of AI player will be set automatically.
70025,ChoiceRoom.ui,5명의 팀을 구성해 다른 팀과 경기를 할 수 있는 모드입니다.\선수가 부족한 경우에는 자동으로 AI 선수를 참가시켜 경기가 가능합니다.,"This is Multi match with other 5 players. If you need more player for having a match, AI player will be set  automatically"
70026,ChoiceRoom.ui,AI상대연습 ,Practise with AI
70027,ChoiceRoom.ui,AI카드 매치 연습 ,Practise with AI card
70028,ChoiceRoom.ui,개인 퀘스트 ,Single Quest
70029,ChoiceRoom.ui,AI카드매치 ,AI Card Match
70030,ChoiceRoom.ui,1:1매치 ,1 vs 1
70031,ChoiceRoom.ui,5:5매치 ,5 vs 5
70032,ChoiceRoom.ui,다음,Next
70033,ChoiceRoom.ui,친구 삭제,Delete
80001,CreateCharacter.ui,스타일,Style
80002,CreateCharacter.ui,성  별,Gender
80003,CreateCharacter.ui,캐릭터 이름,Name
80004,CreateCharacter.ui,하  의,Pants
80005,CreateCharacter.ui,피부색,Skin 
80006,CreateCharacter.ui,상  의,Shirts
80007,CreateCharacter.ui,신  발,Shoes
80008,CreateCharacter.ui,중복체크 버튼을 눌러주세요.,Check
80009,CreateCharacter.ui,달리기,Running
80010,CreateCharacter.ui,드리블,Dribbling
80011,CreateCharacter.ui,순발력,Agility
80012,CreateCharacter.ui,근  력,Stamina
80013,CreateCharacter.ui,탄  력,Jump
80014,CreateCharacter.ui,몸싸움,Bodycheck
80015,CreateCharacter.ui,크로스,Crossing
80016,CreateCharacter.ui,숏패스,Short Pass
80017,CreateCharacter.ui,롱패스,Long Pass
80018,CreateCharacter.ui,헤딩 슛,Heading
80019,CreateCharacter.ui,단거리 슛,Short Shots
80020,CreateCharacter.ui,중거리 슛,Long Shots
80021,CreateCharacter.ui,키  핑,Ball Control
80022,CreateCharacter.ui,스  틸,Stealing
80023,CreateCharacter.ui,태  클,Tackling
80024,CreateCharacter.ui,캐  칭,Catching
80025,CreateCharacter.ui,펀  칭,Punching
80026,CreateCharacter.ui,방  어,Defense
80027,CreateCharacter.ui,능력치,Ability
80028,CreateCharacter.ui,팀의 득점을 책임지는 포지션,The position to make the goals
80029,CreateCharacter.ui,5 레벨시 전직가능,Possible to upgrade position at Lv. 5
80030,CreateCharacter.ui,20 레벨시 전직가능 포지션,Possible to upgrade position at Lv. 20
80031,CreateCharacter.ui,팀의 공/수에 관여하는 포지션,The position playes the role of both Striker & Defender at the same time
80032,CreateCharacter.ui,팀의 실점을 방어하는 포지션,The position playes a role to prevent the opposition from attacking
80033,CreateCharacter.ui,헤딩슛과 골 결정력이 좋은 포지션,The position for heading & high ball
80034,CreateCharacter.ui,드리블과 필드골이 뛰어난 포지션,The position for dribbling & field goal
80035,CreateCharacter.ui,빠른 드리블과 크로스가 가능한 포지션,The position for fast dribble & crossing
80036,CreateCharacter.ui,단거리 슛과 중거리 슛 모두 가능한 포지션,The position for short & long shots
80037,CreateCharacter.ui,중거리 슛팅이 뛰어난 포지션,The position for long shots 
80038,CreateCharacter.ui,안정적인 패스가 좋은 포지션,The position for stabilized short passing
80039,CreateCharacter.ui,원거리 크로스가 가능한 포지션,The position for long passing & crossing
80040,CreateCharacter.ui,상대 공격을 1차 저지하는 포지션,The position for defense at the middle area
80041,CreateCharacter.ui,팀의 최후방을 지키는 포지션,The position for defense at the end
80042,CreateCharacter.ui,수비 제공권이 돋보이는 포지션,The position of defense for high ball
80043,CreateCharacter.ui,대인 마크에 빛을 발하는 포지션,The position of defense for man to man
80044,CreateCharacter.ui,FW 를 선택하셨네요.\FW는 골에 대한 욕심이 필요하죠.\이제 『%s』님의 특성치는 오른쪽\그래프처럼 성장하게 될 거에요.,"You select FW.\FW need to be greedy for the goal.\Now, 『%s』 will grow like right graph."
80045,CreateCharacter.ui,MF 를 선택하셨네요.\MF는 많은 활동량을 필요로 하죠.\이제 『%s』님의 특성치는 오른쪽\그래프처럼 성장하게 될 거에요.,"You select MF.\MF need wide scope of activity.\Now, 『%s』 will grow like right graph."
80046,CreateCharacter.ui,DF 를 선택하셨네요.\DF에게 안정적인 수비력은 필수죠.\이제 『%s』님의 특성치는 오른쪽\그래프처럼 성장하게 될 거에요.,"You select DF.\DF need stable defense ability.\Now, 『%s』 will grow like right graph."
80047,CreateCharacter.ui,마지막으로 하나 더.\20레벨이 되어서 2차 전직 때\할 수 있는 포지션을 알려주도록 할께요,One more\Will let you know the positions\for 2nd growth when become Lv 20.
80048,CreateCharacter.ui,안녕? 반가워요\난 아르미 라고 해요.\여러분이 X-KICK 에서 멋진 선수가 될 때까지\항상 옆에서 도와줄 매니져랍니다.\앞으로 잘 부탁해요.\그럼 우선 캐릭터부터 생성해볼까요?,"Hi! Nice to meet you.\I am ARUMI\I am the manager and will be with\you until you become great player.\Let's get along.\Now, let's create character"
80049,CreateCharacter.ui,원하는 스타일을 결정하도록 하죠.\앞으로 X-KICK 에서\자신을 대신하는 캐릭터가 되는 것이니\신중하게 선택하도록 해요.,"Decide with your style.\This character will play\the match instead of you in X-KICK\So, select with care."
80050,CreateCharacter.ui,지금 『%s』님이 가지고 있는 능력치에요.\지금은 아주 낮고 모든 능력치가 같지만\튜토리얼 이후에 전직을 하게 되면\당신에게 맞는 능력치로 변하게 될 꺼에요.,"It's the current ability of. 『%s』\All the abilities now is very low,\but once you grow after tutorial\the abilities will be suitable for you."
80051,CreateCharacter.ui,드리블 단거리 슛 키핑,"Dribbling, Short shots, Ball control"
80052,CreateCharacter.ui,순발력 중거리 슛 스틸,"Agility, Long shots, Stealing"
80053,CreateCharacter.ui,근력 스틸 태클,"Stamina, Stealing, Tackling"
80054,CreateCharacter.ui,팀의 공격을 맡아 득점을 책임지는 포지션,The position for scoring the goals
80055,CreateCharacter.ui,공/수 양면 모두 참여하여 팀원을 돕는 멀티 포지션,The position involved in both Attacking &\Defending positions
80056,CreateCharacter.ui,팀의 최후방에서 실점을 막고 상대의 공격을 방해하는 포지션,The position not to lose the goals and obstructthe opponent players
80057,CreateCharacter.ui,득점력과 뛰어난 제공권 등을 바탕으로 팀의 모든 공격을 마무리 하는 포지션\항상 골대에 매우 가깝게 위치하며 상대 수비를 따돌리거나 무너뜨리는 역할 수행에도 적합하다.\누구보다 많은 헤딩 스킬은 ST를 더욱 돋보이게 한다.\클로제 반 니스텔루이 트레제게와 같은 킬러 본능이 있는 당신에게 최적의 포지션.,"1. Striker, having good heading & catching highball abilities\2. Overcome the weakness of agility & speed\by making goal ability."
80058,CreateCharacter.ui,상대 수비 빈 공간을 파고 들어가 다이렉트로 슈팅을 연결하거나\공을 소유한 상태로 안정적인 드리블로 상대 수비를 돌파하는 중앙 공격수.\누구보다 강력한 슈팅 능력 및 스킬은 부족한 어시스트 능력을 채우기에 충분하다.\루니 테베즈 다비드 비야 등. 더 이상 무슨 설명이 필요할까?,"1. Center Forward, having good dribbling skill &field goals\2. The best goal-scorer, having a ball."
80059,CreateCharacter.ui,빠르고 다양한 드리블 스킬과 수준 높은 크로스 약간의 득점력을 겸비한 포지션.\측면 미드필더보다 공격에 더 중점을 두어 크로스가 1차적인 목표이지만\때때로 득점을 노리기도 한다.\크리스티아누 호날두와 같은 빠른 스피드로 상대를 공략하며\아르옌 로벤과 같은 득점력을 겸비했다면 이미 경계 대상 1호.,"1. Wing Forward, having the fasted dribbling\skill & crossing from side\2. Good scorer."
80060,CreateCharacter.ui,최고의 테크닉과 센스 있는 득점력을 갖춘 “공격수와 미드필더를 오가는” 포지션.\다른 포지션에 비해 활동량은 적지만\언제 어디서든 득점이 가능하고 정확한 어시스트까지 가능하여 상대방에게 가장 위협적인 공격수.\지단이나 토티 베르캄프 등 유명한 스타 플레이어가 가장 많은 포지션.,"1. Shadow Striker, possible to make a goal fromanywhere\2. Good assistor & scorer but low dribbling skill &ball control."
80061,CreateCharacter.ui,폭 넓은 시야와 빠른 판단력으로 팀 공격의 주축이 되는 포지션.\능숙한 볼 터치와 빼어난 중거리 슛 어시스트 등 기술적인 능력은 물론이고\상대 수비를 붕괴하는 과감한 패스 능력으로 직 간접적 찬스 메이커라 할 수 있는 미드필더.\카카 이니에스타 등 팀에서 간판 선수라 내세울 수 있는 공격적인 포지션.,"1. Attacking Midfielder, delivering a ball to\forward also having the long shot\2. Good dribbler but low defensive ability."
80062,CreateCharacter.ui,팀에 따라 여러 가지 역할을 수행할 수 있어야 하는 유틸리티한 포지션.\공격과 수비를 연결하며 상대가 볼을 소유하고 있을 시에는 수비도 해야 한다.\경기장 전체를 둘러볼 수 있고 팀의 경기를 주도하는 사령관 역할을 하는 경우가 많다.\챠비 피를로 등과 같이 패스 능력과 함께 힘과 수비 능력을 적절히 갖춘 균형 잡힌 선수이다.,"1. Center Midfielder, controlling of game speedfor Attacking & Defending the both\2. The best passing player."
80063,CreateCharacter.ui,정확도 높은 크로스를 구사하는 것으로 유명한 데이비드 베컴이 대표적인 SM이다.\돌파보다는 상대적으로 먼 거리에서도 빠르고 정확하게 크로스를 하는 것이 주요 임무이며\사이드 라인의 이점을 살린 공격 작업 이외에도 측면 수비를 돕는 역할을 수행한다.,"1. Side Midfielder, having good dribbling &\crossing\2. The speed is lower than WF, but the\Defending ability is higher."
80064,CreateCharacter.ui,상대 공격의 흐름을 일차적으로 차단하여 수비를 더욱 탄탄하게 만들어 주면서\같은 편 선수들의 수비 부담을 줄여주는 포지션.\김남일 로이 킨 비에이라와 같은 강한 카리스마는\그가 있다는 사실만으로도 상대에게 압박을 주기에 충분하다.\스틸 태클 등의 수비 능력이 준수한 수비수에 가까운 포지션,"1. Defensive Midfielder, having good stealing &tackling\2. Close to Defender, not to make a goal easy\but having good defensive skills."
80065,CreateCharacter.ui,팀의 최후방에서 상대 편의 볼을 쓸어내는 역할을 맡으며\일반적으로 다른 수비수보다 수비 능력이 뛰어나 대부분 수비 지향적인 플레이를 펼친다.\네스타 홍명보와 같이 수비뿐만 아니라 팀의 정신적인 지주가 되어보자.,"1. Sweeper, the last player covering the wholearea behind a line of defenders\2. Good defender, but slow player."
80066,CreateCharacter.ui,상대적으로 빠른 스피드로 특정 지역을 전담하는 지역 방어에 유리한 포지션.\헤딩과 태클에 능하여 크로스 차단 뿐만 아니라 상대의 돌파도 방어해낼 수 있다.\칸나바로 존 테리처럼 든든한 벽이 될 자신이 있는 당신에게 적합한 포지션.,"1. Center back, the center of defense blockingthe opponent players with high speed\2. Good for high ball and tackling."
80067,CreateCharacter.ui,Stopper의 약자로 상대방 돌파를 저지하는 역할을 주로 수행하는 대인 방어에 특화된 포지션.\상대를 방어하기에 충분한 많은 수비 능력과 함께 오버랩 하기에 충분한 피지컬은 \SP 포지션만의 장점이라 할 수 있겠다.\수비만 해서 답답하다고 생각되는 당신에게는 공격 작업까지 할 수 있는 최적의 포지션.,"1. Stopper, having good man to man defense\ability\2. Low ability taking high ball but having a\special heading shot at the counter attack."
80068,CreateCharacter.ui,1. 경기 중 유일하게 손을 쓸 수 있는 포지션\2. 골키퍼 보호구역을 벗어나면 다른 필드플레이어에 비해 운동 능력치는 떨어진다,"1. Goalkeeper, possible to catch the ball in thegoalkeeper to prevent the opposition from\scoring\2. The lowest field player at the out of\goalkeeper area."
80069,CreateCharacter.ui,님의 경기 결과에요,s match result
80070,CreateCharacter.ui,포지션 설명,Description of the position
80071,CreateCharacter.ui,자동 성장,Automatic growth
80072,CreateCharacter.ui,전직 보기,Position Tree
80073,CreateCharacter.ui,스킬 리스트,Skill List
80074,CreateCharacter.ui,캐릭터생성,CreateCharacter
90001,CreateQuest.ui,보상 아이템,Item
90002,CreateQuest.ui,없음,None
90003,CreateQuest.ui,포인트,Points
90004,CreateQuest.ui,경험치,EXP
90005,CreateQuest.ui,퀘스트 상세보기,Quest Detail
90006,CreateQuest.ui,수행조건 :,Condition :
90007,CreateQuest.ui,퀘스트 설명,Description
90008,CreateQuest.ui,레벨제한 :,Level :
90009,CreateQuest.ui,참여인원 :,Player :
90010,CreateQuest.ui,반복여부 :,Repetition :
90011,CreateQuest.ui,비밀번호 설정,Password
90012,CreateQuest.ui,정렬,Order
90013,CreateQuest.ui,미완료,Incompleted
90014,CreateQuest.ui,완료,Completed
90015,CreateQuest.ui,레벨 제한,Level
90016,CreateQuest.ui,참여 인원,Player
90017,CreateQuest.ui,반복 여부,Repetition
90018,CreateQuest.ui,수행 조건,Condition
90019,CreateQuest.ui,퀘스트 만들기,New Quest
90020,CreateQuest.ui,퀘스트 종류,Quest Type
100001,CreateRoom.ui,방 만들기,Setting
100002,CreateRoom.ui,인공지능 설정,Set AI
100003,CreateRoom.ui,방식 설정,Match type
100004,CreateRoom.ui,일반방,Normal
100005,CreateRoom.ui,내기방,Betting
100006,CreateRoom.ui,방제목,Title
100007,CreateRoom.ui,비밀번호,Password
100008,CreateRoom.ui,인원 설정,Player
100009,CreateRoom.ui,키퍼만허용,Goalee Only
100010,CreateRoom.ui,전포지션허용,All positions
100011,CreateRoom.ui,전포지션불가,No AI players
100012,CreateRoom.ui,세부설정 표시,Detail
100013,CreateRoom.ui,20레벨 이상부터 Point 내기경기가 가능합니다,"Possilbe to play the betting match, when you meet the Lv.20"
100014,CreateRoom.ui,레벨 설정,Level
100015,CreateRoom.ui,포인트 설정,Betting Points
100016,CreateRoom.ui,300 포인트,Points 300
100017,CreateRoom.ui,500 포인트,Points 500
100018,CreateRoom.ui,1000 포인트,Points 1000
100019,CreateRoom.ui,포지션 설정,Positons
100020,CreateRoom.ui,선공 설정,Ball 
100021,CreateRoom.ui,시간 설정,Time
100022,CreateRoom.ui,날씨 설정,Weather
100023,CreateRoom.ui,시간변화허용,Allow changing\Time
100024,CreateRoom.ui,날씨변화허용,Allow changing\Weather
100025,CreateRoom.ui,클럽전용,Club only
100026,CreateRoom.ui,관전허용,Observer 
100027,CreateRoom.ui,관전자채팅허용,Allow Chat
100028,CreateRoom.ui,옵션 설정,Options
100029,CreateRoom.ui,격번제,Sequence
100030,CreateRoom.ui,랜덤제,Random
100031,CreateRoom.ui,± 5레벨,LEVEL ±5
100032,CreateRoom.ui,± 10레벨,LEVEL ±10
100033,CreateRoom.ui,전체,ALL
100034,CreateRoom.ui,싱글,Single
100035,CreateRoom.ui,AI 카드 대전,AI card match
100036,CreateRoom.ui,%d-%d Level,%d-%d Level
100037,CreateRoom.ui,플레이모드,Play mode setting
100038,CreateRoom.ui,AI 설정,AI setting
100039,CreateRoom.ui,지역 설정,Select Local area
100040,CreateRoom.ui,AI 비허용,Unable AI
100041,CreateRoom.ui,AI 허용,Enable AI
100042,CreateRoom.ui,사우디아라비아,Saudi Arabia
100043,CreateRoom.ui,알제리아,Algeria
100044,CreateRoom.ui,모로코,Morroco
100045,CreateRoom.ui,바레인,Bahrain
100046,CreateRoom.ui,아랍,Iraq
100047,CreateRoom.ui,레바논,Lebanon
100048,CreateRoom.ui,시리아,Syria
100049,CreateRoom.ui,아랍에미리트,United Arab Emirates
100050,CreateRoom.ui,오만,Oman
100051,CreateRoom.ui,조르단,Jordan
100052,CreateRoom.ui,튀니지,Tunisia
100053,CreateRoom.ui,이집트,Egypt
100054,CreateRoom.ui,카타르,Qatar
100055,CreateRoom.ui,팔레스타인,Palestine
100056,CreateRoom.ui,쿠웨이트,Kuwait
100057,CreateRoom.ui,예맨,Yemen
100058,CreateRoom.ui,리비아,Libya
100059,CreateRoom.ui,수단,Sudan
110001,GameLoading.ui,관전자 1,Observer 1
110002,GameLoading.ui,관전자 2,Observer 2
110003,GameLoading.ui,관전자 3,Observer 3
110004,GameLoading.ui,관전자 4,Observer 4
110005,GameLoading.ui,동등,Equality
110006,GameLoading.ui,강세,Dominance
110007,GameLoading.ui,약세,Recessiveness
120001,GamePlay.ui,+ 100 포인트,+ 100 Points
120002,GamePlay.ui,경기에서 승리하라!,Be sure to Win!
120003,GamePlay.ui,승리를 지켜라!,Keep the victiory!
120004,GamePlay.ui,반드시 승리하라!,Be sure to Win!
120005,GamePlay.ui,튜토리얼,TUTORIAL
130001,GameResult.ui,점수,Score
130002,GameResult.ui,MVP,MVP
130003,GameResult.ui,팀성적,Team Stats
130004,GameResult.ui,컷팅,Cutting
130005,GameResult.ui,유효슈팅,Shots
130006,GameResult.ui,유효스틸,Steals
130007,GameResult.ui,유효태클,Tackles
130008,GameResult.ui,점유율,Possession
130009,GameResult.ui,프로모션,Promotion
130010,GameResult.ui,이름,Name
130011,GameResult.ui,보상내역,Reward  
130012,GameResult.ui,보너스 카드내역,Bonus Card
130013,GameResult.ui,퀘스트 설명,Quest Description
130014,GameResult.ui,축하합니다.!\레벨 10을 달성 하였습니다.\전직창으로 이동합니다.,Congratulations!\Achieve Lv.10\Move to the page for upgrading your character.
130015,GameResult.ui,게임결과,GameResult
130016,GameResult.ui,획득 경험치 및 포인트,Acquired Points and EXP
130017,GameResult.ui,획득 경험치,Acquired EXP
130018,GameResult.ui,획득 포인트,Acquired Points
130019,GameResult.ui,보상 내역,Reward List
130020,GameResult.ui,미  션,Mission
140001,GameResult_open.ui,결과보기,Game Result
150001,ItemBag.ui,브랜드,Brand
150002,ItemBag.ui,히트,Hit
150003,ItemBag.ui,신규,New
150004,ItemBag.ui,카트,Cart
150005,ItemBag.ui,전체,All
150006,ItemBag.ui,머리,Head
150007,ItemBag.ui,얼굴,Face
150008,ItemBag.ui,얼굴 페인트,Face Painting
150009,ItemBag.ui,하의,Pants
150010,ItemBag.ui,상의,Shirts
150011,ItemBag.ui,장갑,Gloves
150012,ItemBag.ui,신발,Shoes
150013,ItemBag.ui,양말,Socks
150014,ItemBag.ui,귀걸이,Earrings
150015,ItemBag.ui,안경,Glasses
150016,ItemBag.ui,목걸이,Necklaces
150017,ItemBag.ui,마스크,Masks
150018,ItemBag.ui,팔목보호대,Elbow Bands
150019,ItemBag.ui,손목보호대,Wrist Bands
150020,ItemBag.ui,무릅보호대,Knee Guards
150021,ItemBag.ui,응원도구,Cheering Tools
150022,ItemBag.ui,슬롯,Slots
150023,ItemBag.ui,드링크,Drinks
150024,ItemBag.ui,바,Bars
150025,ItemBag.ui,전체,All
150026,ItemBag.ui,스킬 레벨,Skill Lv.
150027,ItemBag.ui,피로도,Fatigue
150028,ItemBag.ui,레벨,Level
150029,ItemBag.ui,S랭크,Rank S
150030,ItemBag.ui,A랭크,Rank A
150031,ItemBag.ui,B랭크,Rank B
150032,ItemBag.ui,C랭크,Rank C
150033,ItemBag.ui,D랭크,Rank D
150034,ItemBag.ui,소포,Parcel
150035,ItemBag.ui,머플러,Muffler
150036,ItemBag.ui,가방,Backpack
150037,ItemBag.ui,공격,Attack
150038,ItemBag.ui,미들,Middle
150039,ItemBag.ui,수비,Defense
150040,ItemBag.ui,재료,Element
150041,ItemBag.ui,AI카드 정보,AI Card Info
150042,ItemBag.ui,엔트리 등록,Starting Member(s)
150043,ItemBag.ui,조합,MIX
150044,ItemBag.ui,조합할 카드,Mix Card
150045,ItemBag.ui,인첸트,Enchant
150046,ItemBag.ui,아이템 이름,Item name
150047,ItemBag.ui,착용,Take on
150048,ItemBag.ui,해제,Take off
150049,ItemBag.ui,강화,Upgrade
150050,ItemBag.ui,일반,NORMAL
150051,ItemBag.ui,레어,RARE
150052,ItemBag.ui,스페셜,SPECIAL
150053,ItemBag.ui,모두해제,Take off all
150054,ItemBag.ui,전직카드,Position
150055,ItemBag.ui,되팔기,Resell
150056,ItemBag.ui,강화 아이템 슬롯,Enchant Item Slot
150057,ItemBag.ui,수리,Repair
160001,ItemDialog.ui,아이템 구매,Buy Item
160002,ItemDialog.ui,P,P
160003,ItemDialog.ui,C,C
160004,ItemDialog.ui,보유 포인트,Your Balance
160005,ItemDialog.ui,구입 포인트,Item Price
160006,ItemDialog.ui,구매후 남은 포인트,New Balance
160007,ItemDialog.ui,아이템을 구매 하시겠습니까?,Would you like to buy the item?
160008,ItemDialog.ui,메세지를 입력해주세요.,Message
160009,ItemDialog.ui,등록된 친구찾기,Find Friend
160010,ItemDialog.ui,아이템을 선물 하시겠습니까?,Would you like to gift the item?
160011,ItemDialog.ui,아이템을 교환 하시겠습니까?,Would you like to exchange the item?
160012,ItemDialog.ui,카드 구매,Buy Card
160013,ItemDialog.ui,카드를 구매 하시겠습니까?,Would you like to buy the card?
160014,ItemDialog.ui,순서,Order
160015,ItemDialog.ui,보낸사람,Character
160016,ItemDialog.ui,일자,Date
170001,ItemShop.ui,유니폼,Uniform
170002,ItemShop.ui,숫자,Number
170003,ItemShop.ui,음식,Foods
170004,ItemShop.ui,오늘 구매 가능한 상품입니다.\새 상품 도착 시간 : 매일 밤 12시,The items possible to buy today.\The new items will come every 12:00am.
170005,ItemShop.ui,모든카드,All Cards
170006,ItemShop.ui,포지션별,Position
170007,ItemShop.ui,행동유형,Activity
170008,ItemShop.ui,무난한 D등급. 흠.... ,Congratulations! You take a D grade card
170009,ItemShop.ui,C등급. 그래도 성능은 좋아요 ^^,Congratulations! You take a C grade card
170010,ItemShop.ui,와우! B등급? 이 정도면 중박?,Congratulations! You take a B grade card
170011,ItemShop.ui,축하합니다~ A등급을 획득하셨네요,Congratulations! You take a A grade card
170012,ItemShop.ui,대박~! S등급이에요!!!,Congratulations! You take a S grade card
170013,ItemShop.ui,선물하기,Gift Item
170014,ItemShop.ui,교환하기,Exchange Item
170015,ItemShop.ui,아이템옵션,Item option(s)
170016,ItemShop.ui,받는사람,Character
170017,ItemShop.ui,내용,Comment
170018,ItemShop.ui,내구도 %d/%d,Durability %d/%d
170019,ItemShop.ui,영구사용,Permanent
170020,ItemShop.ui,기능성,Functionality
170021,ItemShop.ui,소모성,Expendability
170022,ItemShop.ui,새 상품보기 %d 회 사용 가능,Refresh %d New items 
170023,ItemShop.ui,새상품보기,New items
180001,MessageBox.ui,메시지,Message
180002,MessageBox.ui,사용키를 지정해 주십시오,"Please, set the key"
190001,Option.ui,게임 옵션,Game Option
190002,Option.ui,카메라,Camera
190003,Option.ui,줌인 / 아웃,Zoom
190004,Option.ui,이름표시,Names
190005,Option.ui,허용,Enable
190006,Option.ui,거부,Disable
190007,Option.ui,초대,Invitation
190008,Option.ui,효과음,Effect Sound
190009,Option.ui,배경음,BGM
190010,Option.ui,없음,Hide
190011,Option.ui,모두,All
190012,Option.ui,타겟,Target
190013,Option.ui,팀,Team
190014,Option.ui,각도조절,View point\Control
190015,Option.ui,감마,Gamma
190016,Option.ui,게임 화면,Screen Mode
190017,Option.ui,풀화면,Full
190018,Option.ui,윈도우,Window
190019,Option.ui,안티앨리애싱,Anti-Aliasing
190020,Option.ui,날씨 효과,Weather Effect
190021,Option.ui,게임 효과,Game Effect
190022,Option.ui,배경 효과,BG.Effect
190023,Option.ui,그림자,Shadow
190024,Option.ui,끄기,Hide
190025,Option.ui,켜기,Visible
190026,Option.ui,블룸 효과,Bloom Effect
190027,Option.ui,게임 모드,Game Mode
