Code,UiFile,Kor,Eng,Arg
50006,ChoiceClass.ui,?%s??? ??? ???? ?????!\MF ???? ?????? ?? ??? ?? ??? ???? ??? ??? ?????,"?%s?, What a nice pass!\Do you lke MF position? This position involved in both Striker & Defender positions.",?%s?ÊãÑíÑÉ ÌíÏÉ! åá ÊÍÈ ãÑßÒ ÇáæÓØ ¿ Çäå ÇáãÑßÒ ÇáãÊÎÕÕ İí ÇáåÌæã æÇáÏİÇÚ ãÚÇ ÑÇÆÚ ÃáíÓ ßĞáß ¿
50007,ChoiceClass.ui,?%s??? ?? ??? ?????!\DF ???? ?????? ?? ??? ???? ???? ?????. ??? ????,"?%s?, What a nice defense!\Do you like DF position? It's the position not to lose the goal. Isn't great?","?%s?,ÏİÇÚ ÌíÏ! åá ÊÍÈ ãÑßÒ ÇáÏİÇÚ¿ Çäå ÇáãÑßÒ ÇáãÊÎÕÕ İí ÚÏã ÎÓÇÑÉ åÏİ ÑÇÆÚ ÃáíÓ ßĞáß ¿"
50008,ChoiceClass.ui,??,Shooting,ÇáÊÓÏíÏ
50009,ChoiceClass.ui,???,Ball clear,ÇáßÑÉ ÎÇáíÉ
60001,ChoiceReplay.ui,????,Replay,ÅÚÇÏÉ
60002,ChoiceReplay.ui,???,Position,ÇáãÑßÒ
60003,ChoiceReplay.ui,?????,Name,ÇáÇÓã
60004,ChoiceReplay.ui,??,Goals,ÇáÃåÏÇİ
60005,ChoiceReplay.ui,????,Assist,ãÓÇÚÏÉ
60006,ChoiceReplay.ui,??,Vote,ÇáÊÕæíÊ
70001,ChoiceRoom.ui,???,Skill Shop,ãÊÌÑ ÇáãåÇÑÉ
70002,ChoiceRoom.ui,????,Information,ÇáãÚáæãÇÊ
70003,ChoiceRoom.ui,????,Item Shop,ãÊÌÑ ÇáÃÏæÇÊ
70004,ChoiceRoom.ui,????,Inventory,ÇáãÎÒä
70005,ChoiceRoom.ui,???,Quest,ÇáãåãÉ
70006,ChoiceRoom.ui,???,Whisper,ÇáåãÓ
70007,ChoiceRoom.ui,???,Order,ÇáØáÈ
70008,ChoiceRoom.ui,??? ???? ?????.\????? ?????.,You didn't perform upgrading your\character position. Move to the page for\the job.,ÇäÊ áã ÊŞã ÈÊØæíÑ ãÑßÒ ÇáÔÎÕíÉ/ÇäÊŞá ááÕİÍÉ/ãä ÃÌá ÇáÚãá
70009,ChoiceRoom.ui,??,All,Çáßá
70010,ChoiceRoom.ui,???,Normal,ÚÇÏí
70011,ChoiceRoom.ui,???,Waiting,ÇäÊÙÇÑ
70012,ChoiceRoom.ui,???,Quest,ÇáãåãÉ
70013,ChoiceRoom.ui,????,Add Friend,ÅÖÇİÉ ÕÏíŞ
70014,ChoiceRoom.ui,????,Add Ignore,ÃÖÇİÉ ÊÌÇåá
70015,ChoiceRoom.ui,????,Detail,ÇáÊİÕíá
80001,CreateCharacter.ui,???,Style,ÇáäãØ
80002,CreateCharacter.ui,?  ?,Gender,ÇáÌäÓ
80003,CreateCharacter.ui,??? ??,Name,ÇáÇÓã
80004,CreateCharacter.ui,?  ?,Pants,ÇáÈäØÇá
80005,CreateCharacter.ui,???,Skin ,ÇáÈÔÑÉ
80006,CreateCharacter.ui,?  ?,Shirts,ÇáŞãÕÇä
80007,CreateCharacter.ui,?  ?,Shoes,ÇáÃÍĞíÉ
80008,CreateCharacter.ui,???? ??? ?????.,Check,ÊÃßÏ
80009,CreateCharacter.ui,???,Running,ÌÑí
80010,CreateCharacter.ui,???,Dribbling,ãÑÇæÛÉ
80011,CreateCharacter.ui,???,Agility,ÎİÉ ÇáÍÑßÉ
80012,CreateCharacter.ui,?  ?,Stamina,ŞÏÑÉ ÇáÊÍãá
80013,CreateCharacter.ui,?  ?,Jump,ŞİÒ
80014,CreateCharacter.ui,???,Bodycheck,ÇÎÊÑÇŞ
80015,CreateCharacter.ui,???,Crossing,ÊŞÇØÚ
80016,CreateCharacter.ui,???,Short Pass,ÊãÑíÑÉ ŞÕíÑÉ
80017,CreateCharacter.ui,???,Long Pass,ÊãÑíÑÉ Øæíáå
80018,CreateCharacter.ui,?? ?,Heading,ÑÃÓíÉ
80019,CreateCharacter.ui,??? ?,Short Shots,ÊÓÏíÏÇÊ ŞÕíÑÉ
80020,CreateCharacter.ui,??? ?,Long Shots,ÊÓÏíÏÇÊ ØæíáÉ
80021,CreateCharacter.ui,?  ?,Ball Control,ÊÍßã ÈÇáßÑÉ
80022,CreateCharacter.ui,?  ?,Stealing,ÇáÎØİ
80023,CreateCharacter.ui,?  ?,Tackling,ÇáÊÕÏí
80024,CreateCharacter.ui,?  ?,Catching,íãÓß
80025,CreateCharacter.ui,?  ?,Punching,áßãÉ
80026,CreateCharacter.ui,?  ?,Defense,ÇáÏİÇÚ 
80027,CreateCharacter.ui,???,Ability,ÇáŞÏÑÉ
80028,CreateCharacter.ui,?? ??? ???? ???,The position to make the goals,ãÑßÒ ÕÇäÚ ÇáÇåÏÇİ
80029,CreateCharacter.ui,5 ??? ????,Possible to upgrade position at Lv 5,íãßäß ÊØæíÑ ÇáãÑßÒ ÚäÏ ÇáãÓÊæì 5
80030,CreateCharacter.ui,20 ??? ???? ???,Possible to upgrade position at Lv 20,íãßäß ÊØæíÑ ÇáãÑßÒ ÚäÏ ÇáãÓÊæì 20
80031,CreateCharacter.ui,?? ?/?? ???? ???,The position involved in both Striker & Defender positions,åĞÇ ÇáãÑßÒ íÊÚáŞ ÈãÑßÒí ÇáåÌæã æ ÇáÏİÇÚ
80032,CreateCharacter.ui,?? ??? ???? ???,The position not to lose the goals,åĞÇ ÇáãÑßÒ áßí áÇ ÊÎÓÑ ÇáÇåÏÇİ
80033,CreateCharacter.ui,???? ? ???? ?? ???,The position for heading & high ball,åĞÇ ÇáãÑßÒ ááÑÃÓíÉ æ ÇáßÑÉ ÇáÚÇáíÉ
80034,CreateCharacter.ui,???? ???? ??? ???,The position for dribbling & field goal,åĞÇ ÇáãÑßÒ ááãÑÇæÛÉ æ ÇåÏÇİ ÇáãáÚÈ
80035,CreateCharacter.ui,?? ???? ???? ??? ???,The position for fast dribble & crossing,åĞÇ ÇáãÑßÒ ááãÑÇæÛÉ ÇáÓÑíÚÉ æ ÇáÊŞÇØÚ
80036,CreateCharacter.ui,??? ?? ??? ? ?? ??? ???,The position for short & long shots,åĞÇ ÇáãÑßÒ ááÊÓÏíÏÇÊ ÇáŞÕíÑÉ æ ÇáØæíáÉ
80037,CreateCharacter.ui,??? ??? ??? ???,The position for long shots ,åĞÇ ÇáãÑßÒ ááÊÓÏíÏÇÊ ÇáØæíáÉ
80038,CreateCharacter.ui,???? ??? ?? ???,The position for stabilized short passing,åĞÇ ÇáãÑßÒ ááÊãÑíÑÉ ÇáŞÕíÑÉ ÇáãÑßÒÉ
80039,CreateCharacter.ui,??? ???? ??? ???,The position for long passing & crossing,åĞÇ ÇáãÑßÒ ááÊãÑíÑÇÊ ÇáØæíáÉ æ ÇáÊŞÇØÚ
80040,CreateCharacter.ui,?? ??? 1? ???? ???,The position for defense at the middle area,åĞÇ ÇáãÑßÒ ááÏİÇÚ İí ãäØŞÉ ÇáæÓØ
80041,CreateCharacter.ui,?? ???? ??? ???,The position for defense at the end,åĞÇ ÇáãÑßÒ ááÏİÇÚ İí ÇáäåÇíÉ
80042,CreateCharacter.ui,?? ???? ???? ???,The position of defense for high ball,åĞÇ ÇáãÑßÒ ááÏİÇÚ ãä ßÑÉ ÚÇáíÉ
80043,CreateCharacter.ui,?? ??? ?? ??? ???,The position of defense for man to man,åĞÇ ÇáãÑßÒ ááÏİÇÚ ãä ÑÌá áÑÌá
80044,CreateCharacter.ui,FW ? ??????.\FW? ?? ?? ??? ????.\?? ?%s??? ???? ???\????? ???? ? ???.,"You select FW.\FW need to be greedy for the goal.\Now, ?%s? will grow like right graph.",áŞÏ ÇÎÊÑÊ ÇáåÌæã åĞÇ ÇáãÑßÒ íÍÊã Úáíß Ãä Êßæä ãÊÚØÔÇ ááÃåÏÇİ ÇáÇä?%s?ÓÊÕÈÍ ßÇáÌÏæá ÇáÈíÇäí Çáíãíäí
80045,CreateCharacter.ui,MF ? ??????.\MF? ?? ???? ??? ??.\?? ?%s??? ???? ???\????? ???? ? ???.,"You select MF.\MF need wide scope of activity.\Now, ?%s? will grow like right graph.",áŞÏ ÇÎÊÑÊ ÎØ ÇáæÓØ åĞÇ ÇáãÑßÒ íÚÊã Úáíß äÔÇØÇÊ ãÊÚÏÏÉ  ÇáÇä?%s? ÓÊÕÈÍ ßÇáÌÏæá ÇáÈíÇäí Çáíãíäí
80046,CreateCharacter.ui,DF ? ??????.\DF?? ???? ???? ???.\?? ?%s??? ???? ???\????? ???? ? ???.,"You select DF.\DF need stable defense ability.\Now, ?%s? will grow like right graph.",áŞÏ ÇÎÊÑÊ ÇáÏİÇÚ åĞÇ ÇáãÑßÒ íãäÍß ãåÇÑÇÊ ÏİÇÚ ÚÇáíÉ ÇáÇä ?%s? ÓÊÕÈÍ ßÇáÌÏæá ÇáÈíÇäí Çáíãíäí 
80047,CreateCharacter.ui,????? ?? ?.\20??? ??? 2? ?? ?\? ? ?? ???? ????? ???,One more\Will let you know the positions\for 2nd growth when become Lv 20.,ãÑÉ ÇÎÑì! ÓÊÎÊÇÑ ãÑßÒ ãÊÎÕÕ ÇßËÑ ÚäÏãÇ ÊÕÈÍ İí ÇáãÓÊæì 20
80048,CreateCharacter.ui,??? ????\? ??? ?? ??.\???? X-KICK ?? ?? ??? ? ???\?? ??? ??? ??????.\??? ? ????.\?? ?? ????? ???????,"Hi! Nice to meet you.\I am ARUMI\I am the manager and will be with\you until you become great player.\Let's get along.\Now, let's create character",ãÑÍÈÇ! ÓÚíÏ ÈáŞÇÆß ÇäÇ ÇÓãí Èíáíå æ ÇäÇ ÇáãÏíÑ æÓÃÈŞì ãÚß Çáì Çä ÊÕÈÍ áÇÚÈ ããÊÇÒ ÇáÇä ÏÚäÇ äÎÊÇÑ ÔÎÕíÉ áß 
80049,CreateCharacter.ui,??? ???? ????? ??.\??? X-KICK ??\??? ???? ???? ?? ???\???? ????? ??.,"Decide with your style.\This character will play\the match instead of you in X-KICK\So, select with care.",ŞÑÑ Ôßá ÔÎÕíÊÊß åĞå ÇáÔÎÕíÉ ÓÊáÚÈ ÇáãÈÇÑÇÉ ÚæÖÇ Úäß İí X-Kick áĞáß ÇÎÊÑåÇ ÈÚäÇíÉ
80050,CreateCharacter.ui,?? ?%s??? ??? ?? ?????.\??? ?? ?? ?? ???? ???\???? ??? ??? ?? ??\???? ?? ???? ??? ? ???.,"It's the current ability of. ?%s?\All the abilities now is very low,\but once you grow after tutorial\the abilities will be suitable for you.",ÇäåÇ ÇáãåÇÑÉ ÇáÍÇáíÉ áÜ?%s?ßá ÇáãåÇÑÇÊ áÏíß ãäÎİÖÉ ÇáÇä æáßä ÈãÌÑÏ ÇäÊåÇÆß ãä ÇáÊÏÑíÈ ÌãíÚ ÇáãåÇÑÇÊ ÓÊÕÈÍ ãäÇÓÈÉ áß
80051,CreateCharacter.ui,"???, ??? ?, ??","Dribbling, Short shots, Ball control","ãÑÇæÛÉ,ÊÓÏíÏÇÊ ŞÕíÑÉ,ÊÍßã ÈÇáßÑÉ"
80052,CreateCharacter.ui,"???, ??? ?, ??","Agility, Long shots, Stealing","ÎİÉ ÇáÍÑßÉ,ÊÓÏíÏÇÊ ØæíáÉ,ÎØİ"
80053,CreateCharacter.ui,"??, ??, ??","Stamina, Stealing, Tackling","ŞÏÑÉ ÇáÊÍãá,ÎØİ,ÊÕÏí"
80054,CreateCharacter.ui,?? ??? ?? ??? ???? ???,The position for scoring the goals,åĞå ÇáãÑßÒ áÊÓÌíá ÇáÇåÏÇİ
80055,CreateCharacter.ui,?/? ?? ?? ???? ??? ?? ?? ???,The position involved in both Attacking &\Defending positions,åĞÇ ÇáãÑßÒ ãÊÎÕÕ ÈÇáåÌæã æÇáÏİÇÚ ãÚÇ
80056,CreateCharacter.ui,?? ????? ??? ?? ??? ??? ???? ???,The position not to lose the goals and obstructthe opponent players,åĞÇ ÇáãÑßÒ åæ áÚÑŞáÉ ÇáÇÚÈíä ÇáÎÕã æÚÏã ÎÓÇÑÉ åÏİ
80057,CreateCharacter.ui,1. ??? ???? ???? ? ??? ???\2. ??? ? ??? ??? ??? ? ????? ??,"1. Striker, having good heading & catching highball abilities\2. Overcome the weakness of agility & speed\by making goal ability.",1ÇáãåÇÌã áÏíå ŞÏÑÉ ÑÃÓíÉ æ ÇáÊŞÇØ ÇáßÑÇÊ ÇáÚÇáíÉ 2 íÊÛáÈ Úáì ÖÚİå æÚÏã ÓÑÚÊå ÈÕäÚ ãåÇÑÉ ÇáÇåÏÇİ
80058,CreateCharacter.ui,1. ???? ???? ??? ?? ?? ???\2. ?? ??? ????? ??? ??? ???,"1. Center Forward, having good dribbling skill &field goals\2. The best goal-scorer, having a ball.",1æÓØ åÌæã áÏíå ŞÏÑÉ ÌíÏÉ Úáì ÇáãÑæÇÛÉ æÊÍŞíŞ ÇåÏÇİ ãä ÇáæÓØ 2 íÚÊÈÑ åÏÇİ ÌíÏ ÚäÏãÇ Êßæä áÏíå ÇáßÑÉ
80059,CreateCharacter.ui,1. ????? ?? ???? ?? ?? ???? ?? ??? ??? ??? ???\2. ??? ???? ??,"1. Wing Forward, having the fasted dribbling\skill & crossing from side\2. Good scorer.",  1ÌäÇÍ åÌæãí áÏíå ŞÏÑÉ ÓÑíÚÉ Úáì ÇáãÑæÇÛÉ æÇáÊŞÏã Úáì ÇáÌæÇäÈ 2 åÏÇİ ÌíÏ
80060,CreateCharacter.ui,"1. ??? ???? ???? ??? ??? ???\2. ???, ?? ? ?? ??? ????? ????? ?? ? ? ??? ??? ??? ???","1. Shadow Striker, possible to make a goal fromanywhere\2. Good assistor & scorer but low dribbling skill &ball control.",1ÇáãåÇÌã ÇáÔÈÍ ÈÇãßÇäå ÊÓÌíá ÇáÇåÏÇİ ÇíäãÇ ßÇä 2 íÚÊÈÑ ãÓÇÚÏ æåÏÇİ ÌíÏ áßä ãåÇÑÉ ÇáãÑÇæÛÉ æÇáÊÍßã ÈÇáßÑÉ ãäÎİÖÉ
80061,CreateCharacter.ui,"1. ??? ????? ????? ???? ??? ?? ???? ?? ???\2. ??? ?? ?? ?????, ????? ? ????? ?? ????","1. Attacking Midfielder, delivering a ball to\forward also having the long shot\2. Good dribbler but low defensive ability.",  1ÎØ ÇáæÓØ ÇáåÌæãí ãåãÊå ÇíÕÇá ÇáßÑÉ ááÃãÇã áÏíå ŞÏÑÉ ÌíÏÉ Úáì ÇáÊÓÏíÏÇÊ ÇáØæíáÉ 2ãÑÇæÛ ÌíÏ áßä ÏİÇÚÇÊå ãäÎİÖÉ
80062,CreateCharacter.ui,"1. ???? ???? ???? ??? ??? ?, ?? ???? ??? ??? ???\2. ? ???? ?? ?? ?? ??? ???","1. Center Midfielder, controlling of game speedfor Attacking & Defending the both\2. The best passing player.",1ÎØ ÇáæÓØ ÇáãäÊÕİ íÊÍßã ÈÓÑÚÉ ÇÏÇÁ ÇááÚÈ æíÊãÊÚ ÈÇáÏİÇÚ æÇáåÌæã ãÚÇ 2 ÃİÖá áÇÚÈ ÈÇáÊãÑíÑÇÊ
80063,CreateCharacter.ui,"1. ? ????? ???? ?? ???? ??? ??? ???\2. WF? ?? ???? ?????, ?????? ? ??","1. Side Midfielder, having good dribbling &\crossing\2. The speed is lower than WF, but the\Defending ability is higher.",1ÎØ ÇáæÓØ ÇáÌÇäÈí íãÊáß ãæåÈÉ ÇáãÑÇæÛÉ æÇáÊŞÏã 2 ÓÑÚÊå ÇŞá ãä ÇáãåÇÌã áßä ŞÏÑÉ ÇáÏİÇÚ áÏíå ÃÚáì
80064,CreateCharacter.ui,"1. ??? ???? ??, ?? ?? ?? ??? ???? ??? ???\2. ?? ???? ???? ????, ?? ???? ?????? ??","1. Defensive Midfielder, having good stealing &tackling\2. Close to Defender, not to make a goal easy\but having good defensive skills.",1ÎØ ÇáæÓØ ÇáÏİÇÚí ÌíÏ İí ÇÎÊØÇİ ÇáßÑÉ æÇáÚÑŞáÉ 2 íÚÊÈÑ ãä ÇÍÏ ÇáãÏÇİÚíä áßä  ÊÓÌíá ÇáÇåÏÇİ áÏíå áÇ ÊÊã ÈÓåæáÉ áßä ŞÏÑÊå ÇáÏİÇÚíÉ ÌíÏÉ
80065,CreateCharacter.ui,1. ?? ??? ???? ??? ?? ????\2. ??? ???? ????? ??? ??? ????? ???,"1. Sweeper, the last player covering the wholearea behind a line of defenders\2. Good defender, but slow player.",1ÇáãÏÇİÚ íÚÊÈÑ ÇÎÑ áÇÚÈ İí ÎØ ÇáÏİÇÚ  2 ãÏÇİÚ ÌíÏ áßä ÓÑÚÊå ÈØíÆÉ
80066,CreateCharacter.ui,1. ????? ?? ???? ??? ??? ????? ?? ???\2. ???? ?? ? ????? ??? ??,"1. Center back, the center of defense blockingthe opponent players with high speed\2. Good for high ball and tackling.",1ãäÊÕİ ÇáÎáİí íÚÊÈÑ åæ ãÑßÒ ãäÊÕİ ÇáÏİÇÚ íãäÚ ÇáÎÕã ãä ÇáÊŞÏã ÈÓÑÚÊå ÇáÚÇáíÉ 2 ÌíÏ ááßÑÇÊ ÇáÚÇáíÉ æÇáÚÑŞáÉ
80067,CreateCharacter.ui,1. ??? ????? ??? ???\2. ???? ??? ??? ?? ??? ????? ??? ? ? ??,"1. Stopper, having good man to man defense\ability\2. Low ability taking high ball but having a\special heading shot at the counter attack.",1ÇáãÊÕÏí áÏíå ŞÏÑÉ ÌíÏÉ İí ÇáÊÕÏí ãä ÑÌá áÑÌá 2 ŞÏÑÇÊå İí ÇáßÑÇÊ ÇáÚÇáíÉ ãäÎİÖÉ áßä áÏíå ÖÑÈÉ ÑÇÓíÉ ããíÒÉ ÖÏ ÇáåÌãÇÊ ÇáãÑÊÏÉ
80068,CreateCharacter.ui,1. ?? ? ???? ?? ? ? ?? ???\2. ??? ????? ???? ?? ??????? ?? ?? ???? ????,"1. Goalkeeper, possible to catch the ball in thegoalkeeper to prevent the opposition from\scoring\2. The lowest field player at the out of\goalkeeper area.",1ÍÇÑÓ ÇáãÑãì áÏíå ŞÏÑÉ İí ÇáÊŞÇØ ÇáßÑÉ Öãä ãÑÈÚ ÇáÍÑÇÓÉ áãäÚ ÇáÎÕã ãä ÊÓÌíá ÇáåÏİ 2 ãåÇÑÇÊå áíÓÊ ßÇáÇÎÑíä ÎÇÑÌ ãÑÈÚ ÇáÍÑÇÓÉ
80069,CreateCharacter.ui,?? ?? ????,s match result,äÊÇÆÌ ãÈÇÑíÇÊå
80070,CreateCharacter.ui,??? ??,Description of the position,æÕİ ÇáãÑßÒ
80071,CreateCharacter.ui,?? ??,Automatic growth,ÇáÊØæÑ ÇáÊáŞÇÆí
80072,CreateCharacter.ui,?? ??,Position Tree,ÔÌÑÉ ÇáãäÇÕÈ
80073,CreateCharacter.ui,?? ???,Skill List,ŞÇÆãÉ ÇáãåÇÑÇÊ
80074,CreateCharacter.ui,?????,CreateCharacter,ÅäÔÇÁ ÔÎÕíÉ
90001,CreateQuest.ui,?? ???,Item,ÇáÃÏÇÉ
90002,CreateQuest.ui,??,None,ÈáÇ
90003,CreateQuest.ui,???,Points,ÇáäŞÇØ
90004,CreateQuest.ui,???,EXP,ÇáÎÈÑÉ
90005,CreateQuest.ui,??? ????,Quest Detail,ÊİÇÕíá ÇáãåãÉ
90006,CreateQuest.ui,???? :,Condition :,ÇáÍÇáÉ :
90007,CreateQuest.ui,??? ??,Description,ÇáæÕİ
90008,CreateQuest.ui,???? :,Level :,ÇáãÓÊæì :
90009,CreateQuest.ui,???? :,Player :,ÇááÇÚÈ :
90010,CreateQuest.ui,???? :,Repetition :,ÇáÓãÚÉ : 
90011,CreateQuest.ui,???? ??,Password,ßáãÉ ÇáÓÑ
90012,CreateQuest.ui,??,Order,ÇáØáÈ
90013,CreateQuest.ui,???,Not yet,áíÓ ÈÚÏ
90014,CreateQuest.ui,??,Done,Êã
90015,CreateQuest.ui,?? ??,Level,ÇáãÓÊæì  
90016,CreateQuest.ui,?? ??,Player,ÇááÇÚÈ
90017,CreateQuest.ui,?? ??,Repetition,ÇáÓãÚÉ
90018,CreateQuest.ui,?? ??,Condition,ÇáÍÇáÉ   
90019,CreateQuest.ui,??? ???,New Quest,ãåãÉ ÌÏÈÏÉ
90020,CreateQuest.ui,??? ??,Quest Type,äæÚ ÇáãåãÉ
100001,CreateRoom.ui,? ???,Setting,ÇáÅÚÏÇÏ
100002,CreateRoom.ui,???? ??,Set AI,ÎÕÕ ÇáßãÈíæÊÑ
100003,CreateRoom.ui,?? ??,Match type,äæÚ ÇáãÈÇÑÉ
100004,CreateRoom.ui,???,Normal,ÚÇÏí
100005,CreateRoom.ui,???,Betting,ÇáÑåÇä
100006,CreateRoom.ui,???,Title,ÇááŞÈ
100007,CreateRoom.ui,????,Password,ßáãÉ ÇáÓÑ
100008,CreateRoom.ui,?? ??,Player,ÇááÇÚÈ
100009,CreateRoom.ui,?????,Goalee Only,İŞØ ÃåÏÇİ
100010,CreateRoom.ui,??????,All positions,ßá ÇáãäÇÕÈ
100011,CreateRoom.ui,??????,No AI players,ÈÏæä áÇÚÈíä ßãÈíæÊÑ
100012,CreateRoom.ui,???? ??,Detail,ÇáÊİÕíá
100013,CreateRoom.ui,20?? ???? Point ????? ?????,"Possilbe to play the betting match, when you meet the Lv.20","íãßäß áÚÈ ãÈÇÑÉ ÇáÑåÇä,ÚäÏãÇ ÊÕÈÍ ÇáãÓÊæì 20"
100014,CreateRoom.ui,?? ??,Level,ÇáãÓÊæì
100015,CreateRoom.ui,??? ??,Betting Points,äŞÇØ ÇáÑåÇä
100016,CreateRoom.ui,300 ???,Points 300,300 äŞØÉ
100017,CreateRoom.ui,500 ???,Points 500,500 äŞØÉ
100018,CreateRoom.ui,1000 ???,Points 1000,1000 äŞØÉ
100019,CreateRoom.ui,??? ??,Positons,ÇáãäÇÕÈ
100020,CreateRoom.ui,?? ??,Ball ,ÇáßÑÉ
100021,CreateRoom.ui,?? ??,Time,ÇáæŞÊ
100022,CreateRoom.ui,?? ??,Weather,ÇáØŞÓ
100023,CreateRoom.ui,??????,Allow changing\Time,ÓãÇÍ ÈÊÛíÑ /ÇáæŞÊ
100024,CreateRoom.ui,??????,Allow changing\Weather,ÓãÇÍ ÈÊÛíÑ /ÇáØŞÓ
100025,CreateRoom.ui,????,Club only,İŞØ ÇáäÇÏí
100026,CreateRoom.ui,????,Observer ,ÇáãÑÇŞÈ
100027,CreateRoom.ui,???????,Allow Chat,ÇáÓãÇÍ ÈÇáãÍÇÏËÉ
100028,CreateRoom.ui,?? ??,Options,ÇáÎíÇÑÇÊ
100029,CreateRoom.ui,???,Sequence,ÇáÓáÓáÉ
100030,CreateRoom.ui,???,Random,ÚÔæÇÆí
100031,CreateRoom.ui,± 5??,LEVEL ±5,ÇáãÓÊæì ±5
100032,CreateRoom.ui,± 10??,LEVEL ±10,ÇáãÓÊæì ±10 
100033,CreateRoom.ui,??,ALL,Çáßá
100034,CreateRoom.ui,??,Single,æÍíÏ
100035,CreateRoom.ui,AI ?? ??,AI card match,ãÈÇÑÇÉ ÈØÇŞÉ ÇáßãÈíæÊÑ
110001,GameLoading.ui,??? 1,Observer 1,ãÔÇåÏ 1
110002,GameLoading.ui,??? 2,Observer 2,ãÔÇåÏ 2
110003,GameLoading.ui,??? 3,Observer 3,ãÔÇåÏ 3
110004,GameLoading.ui,??? 4,Observer 4,ãÔÇåÏ 4
120001,GamePlay.ui,+ 100 ???,+ 100 Points,+ 100 äŞØÉ
120002,GamePlay.ui,?? ????!,Score the goal!,ÓÌá ÇáåÏİ!!
120003,GamePlay.ui,??? ???!,Keep the victiory!,ÇÍÊİÙ ÈÇáİæÒ!
120004,GamePlay.ui,??? ????!,Be sure to Win!,ßä ãÊÃßÏ ãä ÇáİæÒ!
130001,GameResult.ui,??,Score,ÇáäÊíÌÉ
130002,GameResult.ui,MVP,MVP,MVP
130003,GameResult.ui,???,Team Stats,ÇÍÕÇÁíÇÊ ÇáİÑíŞ
130004,GameResult.ui,??,Cutting,ŞØÚ   
130005,GameResult.ui,????,Shots,ÇáÊÓÏíÏ
130006,GameResult.ui,????,Steals,íÎØİ 
130007,GameResult.ui,????,Tackles,íÕÏ
130008,GameResult.ui,???,Possession,ããÊáßÇÊ
130009,GameResult.ui,????,Promotion,ÊÑŞíÉ
130010,GameResult.ui,??,Name,ÇáÇÓã
130011,GameResult.ui,????,Reward  ,ÇáãßÇİÆÉ
130012,GameResult.ui,??? ????,Bonus Card,ÈØÇŞÉ ÇÖÇİíÉ
130013,GameResult.ui,??? ??,Quest Description,æÕİ ÇáãåãÉ
130014,GameResult.ui,?????.!\?? 10? ?? ?????.\????? ?????.,Congratulations!\Achieve Lv.10\Move to the page for upgrading your character.,ãÈÑæß!/áŞÏ ÈáÛÊ ÇáãÓÊæì 10/ÇäÊŞá ááÕİÍÉ áÊØæíÑ ÔÎÕíÊß
