Index,Code,Option0_0,Option0_1,Option0_2,Option1_0,Option1_1,Option1_2,Option2_0,Option2_1,Option2_2,Description
27,303001,160001,170001,180001,0,0,0,0,0,0,목걸이: 크로스/숏패스/롱패스
28,303005,160005,170005,180005,0,0,0,0,0,0,목걸이: 크로스/숏패스/롱패스
29,303010,160010,170010,180010,0,0,0,0,0,0,목걸이: 크로스/숏패스/롱패스
30,401001,220001,230001,240001,0,0,0,0,0,0,손목보호대: 키핑/스틸/태클
31,401005,220005,230005,240005,0,0,0,0,0,0,손목보호대: 키핑/스틸/태클
32,401010,220010,230010,240010,0,0,0,0,0,0,손목보호대: 키핑/스틸/태클
33,402001,220001,230001,240001,0,0,0,0,0,0,팔목보호대: 키핑/스틸/태클
34,402005,220005,230005,240005,0,0,0,0,0,0,팔목보호대: 키핑/스틸/태클
35,402010,220010,230010,240010,0,0,0,0,0,0,팔목보호대: 키핑/스틸/태클
36,403001,220001,230001,240001,0,0,0,0,0,0,무릎보호대: 키핑/스틸/태클
37,403005,220005,230005,240005,0,0,0,0,0,0,무릎보호대: 키핑/스틸/태클
38,403010,220010,230010,240010,0,0,0,0,0,0,무릎보호대: 키핑/스틸/태클
39,501010,410100,0,0,420100,0,0,0,0,0,"음료수: 경험치+100, 포인트+100"
40,501020,410200,0,0,420200,0,0,0,0,0,"음료수: 경험치+200, 포인트+200"
41,501110,410100,0,0,0,0,0,0,0,0,음료수: 경험치+200
42,501120,410200,0,0,0,0,0,0,0,0,음료수: 경험치+200
43,501210,420100,0,0,0,0,0,0,0,0,음료수: 포인트+100
44,501220,420200,0,0,0,0,0,0,0,0,음료수: 포인트+200
45,510005,100005,0,0,0,0,0,0,0,0,에너지푸드: 달리기
46,511005,110005,0,0,0,0,0,0,0,0,에너지푸드: 드리블
47,512005,120005,0,0,0,0,0,0,0,0,에너지푸드: 순발력
48,513005,130005,0,0,0,0,0,0,0,0,에너지푸드: 근력
49,514005,140005,0,0,0,0,0,0,0,0,에너지푸드: 탄력
50,515005,150005,0,0,0,0,0,0,0,0,에너지푸드: 몸싸움
51,516005,160005,0,0,0,0,0,0,0,0,에너지푸드: 크로스
52,517005,170005,0,0,0,0,0,0,0,0,에너지푸드: 숏패스
53,518005,180005,0,0,0,0,0,0,0,0,에너지푸드: 롱패스
54,519005,190005,0,0,0,0,0,0,0,0,에너지푸드: 헤딩슛
55,520005,200005,0,0,0,0,0,0,0,0,에너지푸드: 단걸슛
56,521005,210005,0,0,0,0,0,0,0,0,에너지푸드: 중걸슛
57,522005,220005,0,0,0,0,0,0,0,0,에너지푸드: 키핑
58,523005,230005,0,0,0,0,0,0,0,0,에너지푸드: 스틸
59,524005,240005,0,0,0,0,0,0,0,0,에너지푸드: 태클
60,525005,250005,0,0,0,0,0,0,0,0,에너지푸드: 캐칭
61,526005,260005,0,0,0,0,0,0,0,0,에너지푸드: 펀칭
62,527005,270005,0,0,0,0,0,0,0,0,에너지푸드: 방어
63,528005,280005,0,0,0,0,0,0,0,0,에너지푸드: 이동
64,529005,290005,0,0,0,0,0,0,0,0,에너지푸드: 체질
65,530005,300005,0,0,0,0,0,0,0,0,에너지푸드: 패스
66,531005,310005,0,0,0,0,0,0,0,0,에너지푸드: 슈팅
67,532005,320005,0,0,0,0,0,0,0,0,에너지푸드: 방어
68,533005,330005,0,0,0,0,0,0,0,0,에너지푸드: 골킵
69,534005,340005,0,0,0,0,0,0,0,0,에너지푸드: 재능
